"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
besoin,produit,pouvoir,prestation,santé,compléter,maladie,assurance,1
bien,bénéficiaire,agricole,sécurité,devoir,vise,insérer,rédiger,1
bilan,activité,physique,an,vise,public,charge,financement,1
bilan,cancer,physique,santé,sécurité,vise,prévoir,financement,1
bilan,médical,psychologique,mineur,santé,vise,permettre,rédiger,1
biologie,médical,patient,dépense,pouvoir,faire,prévoir,état,1
biologique,degré,substitution,médicament,permettre,faire,supprimer,insérer,1
bis,degré,déposer,sénat,social,sécurité,degré,état,1
bis,degré,groupe,socialiste,social,faire,supprimer,degré,1
bis,proposer,degré,rejeter,degré,état,nouveau,titre,1
bis,supprimer,adopter,disposition,prévoir,degré,année,perte,1
bis,urgence,insérer,social,sécurité,vise,public,rédiger,1
barème,taux,pourcent,modifier,supprimer,public,année,mettre,1
b,cotisation,régime,gestionnaire,social,sécurité,pouvoir,permettre,1
aérien,social,exonération,compagnie,sécurité,pouvoir,faire,insérer,1
autonomie,travailleur,financeur,social,sécurité,insérer,charge,financement,1
autonomie,métier,handicap,amélioration,vise,insérer,financement,degré,1
autonomie,pourcent,asseoir,revenu,faire,insérer,financement,général,1
autonomie,programmation,branche,pouvoir,public,financement,compléter,année,1
autonomie,question,traiter,supprimer,social,sécurité,supprimer,général,1
autonomie,service,public,droit,devoir,insérer,degré,nouveau,1
autonomie,social,représentant,concertation,sécurité,pouvoir,faire,rédiger,1
autonomie,usager,soutien,assurer,pouvoir,vise,insérer,degré,1
autorisation,établissement,soin,expérimentation,devoir,vise,permettre,public,1
autonomie,usager,soutien,contribuer,pouvoir,vise,insérer,degré,1
autorisation,entreprise,médicament,association,devoir,vise,insérer,prévoir,1
autorisation,importation,stock,marché,pouvoir,vise,insérer,prévoir,1
autorisation,importation,stock,sécurité,pouvoir,vise,rédiger,prévoir,1
autorisation,supprimer,insérer,conséquence,supprimer,insérer,compléter,conséquence,1
autorisation,travailleur,indépendant,agricole,sécurité,santé,devoir,permettre,1
bière,alcool,titrer,pourcent,faire,rédiger,compléter,maladie,1
bière,pourcent,alcool,ter,social,sécurité,devoir,faire,1
cannabis,âge,pouvoir,prescrire,prévoir,compléter,général,titre,1
bière,pourcent,alcoométrique,taxe,santé,faire,public,insérer,1
cadre,pharmacien,prescription,santé,pouvoir,vise,public,rédiger,1
cadre,prescription,compassionnel,substituer,substituer,cadre,prescription,compassionnel,1
caisse,assurance,maladie,supprimer,supprimer,cadre,prestation,prévoit,1
caisse,demande,entrée,vigueur,permettre,insérer,prévoir,maladie,1
caisse,national,information,famille,sécurité,supprimer,public,insérer,1
cancer,expérimentation,charge,santé,social,pouvoir,devoir,vise,1
cancer,mise,place,adulte,pouvoir,devoir,financement,dispositif,1
cancer,patient,place,consultation,pouvoir,devoir,faire,financement,1
cancer,prostate,patient,systématiquement,santé,insérer,charge,maladie,1
cancer,pédiatrique,adulte,spécifique,devoir,permettre,insérer,dispositif,1
cancer,élaborer,moment,annonce,pouvoir,permettre,insérer,charge,1
cannabis,exclusivement,expérimentation,thérapeutique,pouvoir,permettre,substituer,agir,1
cannabis,expérimentation,substituer,cannabinoïde,pouvoir,vise,général,conséquence,1
cannabis,expérimentation,thérapeutique,médical,pouvoir,permettre,supprimer,agir,1
cannabis,permettre,expérimentation,thérapeutique,social,devoir,public,rédiger,1
bénéficiaire,social,droit,couvertur,sécurité,santé,rédiger,prévoir,1
bénéficiaire,fin,supprimer,survenue,supprimer,prévoir,fin,champ,1
bénéficiaire,droit,complémentaire,santé,social,devoir,vise,faire,1
branche,autonomie,financement,contribution,pouvoir,vise,permettre,faire,1
boisson,assiette,taxe,prémi,social,sécurité,supprimer,rédiger,1
boisson,assiette,taxe,vise,social,sécurité,supprimer,rédiger,1
boisson,vin,produit,vigueur,social,sécurité,financement,compléter,1
boisson,vin,vigueur,numéro,social,sécurité,financement,compléter,1
bonus,adopter,sénat,supprimer,faire,supprimer,assurance,disposition,1
bonus,malus,compléter,limite,social,sécurité,dispositif,compléter,1
branche,dépense,régime,maladie,permettre,financement,général,année,1
bénéficiaire,aah,vise,ensemble,santé,mettre,disposition,concerner,1
branche,insérer,régime,général,insérer,général,régime,branche,1
branche,maladie,charge,accident,faire,financement,état,général,1
branche,solde,pourcent,transfert,rédiger,maladie,année,conséquence,1
branche,solde,régime,pourcent,social,sécurité,rédiger,maladie,1
branche,transfert,tableau,rédiger,social,sécurité,permettre,faire,1
bénéficiaire,aah,inclure,ensemble,santé,vise,disposition,complémentaire,1
expérimentation,prévoir,substituer,relève,dispositif,substituer,prévoir,participe,1
expérimentation,saad,engagement,supprimer,supprimer,financement,national,an,1
expérimentation,saad,engagement,supprimer,supprimer,financement,état,national,1
parlement,prise,charge,compléter,permettre,compléter,nouveau,an,1
obligation,voie,déclaration,dématérialiser,pouvoir,permettre,public,charge,1
obésité,ambulance,transport,bariatriqu,social,vise,faire,insérer,1
occurrence,condition,insérer,fixer,insérer,compléter,conséquence,condition,1
occurrence,remplacer,insérer,fois,insérer,remplacer,fois,rédactionnel,1
offre,concertation,soin,libéral,devoir,insérer,proposer,service,1
ondam,pourcent,dépense,nombre,social,sécurité,pouvoir,financement,1
ondam,pourcent,supprimer,taux,santé,supprimer,maladie,national,1
organisation,associer,dotation,prévoit,devoir,vise,permettre,supprimer,1
organisme,contribution,complémentaire,faire,santé,insérer,maladie,état,1
organisme,contribution,régime,branche,pouvoir,santé,insérer,proposer,1
organisme,régir,assurance,compléter,social,sécurité,santé,compléter,1
organisme,sécurité,social,rejet,social,sécurité,santé,insérer,1
origin,pièce,réparation,garantie,pouvoir,faire,dispositif,compléter,1
ostéoporose,patient,dépistage,an,social,sécurité,pouvoir,devoir,1
parent,patient,mineur,sclérose,financement,compléter,état,année,1
obligation,substituer,pouvoir,renforcer,pouvoir,dispositif,maladie,état,1
obligation,social,degré,absence,rédiger,prévoir,compléter,état,1
objectif,pluriannuel,médicament,dispositif,social,sécurité,vise,insérer,1
nouveau,modalité,attribution,enveloppe,vise,compléter,année,application,1
nombre,substituer,contexte,taux,devoir,permettre,condition,substituer,1
nombre,substituer,objectif,dépense,santé,prévoir,conséquence,prendre,1
nombre,urgence,substituer,conséquence,vise,public,nouveau,objectif,1
nouveau,contigu,proximité,immédiat,sécurité,droit,objectif,substituer,1
nouveau,contribution,autonomie,créer,insérer,rédiger,prévoir,charge,1
nouveau,maltraitance,pouvoir,bientraitance,social,santé,public,dispositif,1
numérique,entreprise,formation,grand,devoir,vise,rédiger,prévoir,1
objectif,insérer,conséquence,substituer,insérer,conséquence,substituer,objectif,1
numérique,substituer,dédié,vise,vise,perte,mettre,substituer,1
numéro,conseil,référence,européen,social,santé,permettre,faire,1
numéro,conseil,référence,européen,vise,rédiger,degré,général,1
numéro,identification,pièce,social,vise,permettre,insérer,rédiger,1
numéro,identification,social,pièce,permettre,insérer,rédiger,droit,1
objectif,effort,priver,rédiger,santé,public,rédiger,maladie,1
parlement,boisson,alcoolique,an,prévoir,droit,disposition,mise,1
parlement,prise,charge,exposition,santé,devoir,compléter,mois,1
nombre,santé,ligne,second,social,sécurité,maladie,national,1
part,supprimer,conséquence,substituer,supprimer,conséquence,substituer,part,1
patient,traitement,rédiger,état,pouvoir,vise,permettre,degré,1
patient,âge,identifiant,concerner,vise,permettre,prévoir,proposer,1
peine,complémentaire,obligatoire,pouvoir,social,sécurité,devoir,permettre,1
pension,agricole,base,branche,social,objectif,cadre,cotisation,1
pension,alimentaire,substituer,recouvrement,prévoir,cadre,substituer,financier,1
pension,retraite,inférieur,revaloriser,social,sécurité,devoir,titre,1
pension,social,retraité,hausse,prévoir,droit,maladie,pourcent,1
permettre,médicaliser,produit,maîtris,social,sécurité,pouvoir,devoir,1
personnel,médical,social,chiffrage,année,proposer,cadre,concerner,1
pharmaceutique,médicament,permettre,population,social,sécurité,pouvoir,vise,1
pharmacien,degré,traitement,substitution,santé,vise,public,rédiger,1
physique,activité,expérimentation,prescription,vise,état,proposer,mettre,1
pièce,réparation,garantie,sécurité,faire,dispositif,compléter,cas,1
place,accueil,jeune,adulte,devoir,faire,charge,dispositif,1
place,nombre,france,accueillir,permettre,faire,état,mettre,1
patient,recours,registre,information,devoir,public,insérer,état,1
patient,pathologie,soin,chronique,pouvoir,vise,permettre,insérer,1
patient,médicament,traitement,santé,devoir,permettre,insérer,maladie,1
patient,degré,rémunération,mission,sécurité,pouvoir,santé,devoir,1
particulier,recourir,entreprise,association,social,devoir,rédiger,degré,1
passer,supprimer,permettre,contourner,pouvoir,santé,permettre,supprimer,1
paternité,degré,parenté,remplacer,social,sécurité,droit,état,1
paternité,parentalité,enfant,accueil,permettre,insérer,dispositif,disposition,1
patient,avis,capacité,demandeur,faire,supprimer,assurer,substituer,1
patient,avis,médical,audition,devoir,faire,condition,assurer,1
patient,devoir,accès,internet,santé,degré,état,général,1
patient,moyen,avis,médical,devoir,faire,condition,assurer,1
patient,devoir,condition,isolement,pouvoir,permettre,insérer,dispositif,1
patient,dispositif,opportunité,étendre,vise,rédiger,prévoir,proposer,1
patient,donnée,vie,réel,devoir,permettre,compléter,maladie,1
patient,générique,prix,princep,dispositif,maladie,national,assurance,1
patient,initialement,utiliser,fin,substituer,fin,patient,utiliser,1
patient,isolement,contention,pouvoir,santé,permettre,insérer,année,1
nombre,social,numéro,répertoire,supprimer,travail,remettre,ailleurs,1
nombre,santé,ligne,colonne,social,sécurité,maladie,national,1
plan,cotisant,dette,délai,devoir,rédiger,financement,compléter,1
médicament,public,développement,bis,social,santé,vise,rédiger,1
médicament,investissement,recherche,développement,social,sécurité,santé,insérer,1
médicament,majeur,mois,traitement,vise,faire,insérer,rédiger,1
médicament,marché,stock,entreprise,dispositif,objectif,substituer,concerner,1
médicament,mois,dernier,santé,social,vise,permettre,insérer,1
médicament,mois,intérêt,thérapeutique,sécurité,pouvoir,vise,public,1
médicament,mois,santé,majeur,permettre,insérer,rédiger,prévoir,1
médicament,mois,santé,public,social,vise,permettre,insérer,1
médicament,patient,conséquence,mitm,pouvoir,vise,faire,insérer,1
médicament,patient,pénurie,conséquence,vise,public,dispositif,droit,1
médicament,patient,pénurie,pouvoir,pourcent,national,objectif,ensemble,1
médicament,plasma,dériver,association,devoir,faire,insérer,année,1
médicament,plasma,dériver,entreprise,sécurité,pouvoir,devoir,faire,1
médicament,plasma,dériver,patient,insérer,maladie,année,proposer,1
médicament,pouvoir,mois,thérapeutique,sécurité,santé,vise,public,1
médicament,prise,charge,homéopathique,sécurité,permettre,établissement,dernier,1
médicament,innover,nouveau,regard,public,rédiger,prévoir,degré,1
médicament,innovant,santé,nouveau,pouvoir,vise,supprimer,public,1
médicament,innovant,pertinent,notion,pouvoir,santé,devoir,supprimer,1
médical,sportif,pratique,supprimer,vise,an,dernier,prévoit,1
médical,biologie,examen,professionnel,social,faire,rédiger,état,1
médical,degré,social,remplacer,santé,rédiger,compléter,nouveau,1
médical,dispositif,dépense,remboursement,pouvoir,permettre,public,charge,1
médical,pouvoir,médicament,insérer,vise,permettre,faire,degré,1
médical,santé,patient,présence,sécurité,pouvoir,devoir,vise,1
médical,sportif,an,certificat,sécurité,vise,permettre,faire,1
médicament,atu,groupe,socialiste,permettre,compléter,nouveau,proposer,1
médicament,information,santé,prix,social,sécurité,devoir,maladie,1
médicament,biologique,supprimer,possibilité,sécurité,pouvoir,santé,dernier,1
médicament,cadre,prescription,compassionnel,faire,rédiger,condition,mise,1
médicament,conséquence,substituer,spécialité,rédiger,droit,mettre,disposition,1
médicament,dispositif,dépense,médical,vise,faire,compléter,année,1
médicament,dépense,homéopathique,prise,social,sécurité,santé,permettre,1
médicament,européen,agence,supprimer,santé,devoir,national,fixer,1
médicament,prix,santé,public,devoir,insérer,rédiger,financement,1
médicament,public,entreprise,santé,pouvoir,vise,faire,degré,1
nombre,santé,ligne,colonne,financement,maladie,soin,nouveau,1
médicament,public,pca,insérer,rédiger,prévoir,état,besoin,1
naissance,prime,verser,enfant,social,sécurité,pouvoir,devoir,1
naissance,prime,verser,mois,permettre,faire,insérer,rédiger,1
naissance,prime,verser,mois,social,sécurité,vise,rédiger,1
national,besoin,prendre,substituer,devoir,charge,substituer,prise,1
national,critère,établissement,financement,permettre,public,état,cas,1
national,expérimentation,femme,santé,social,pouvoir,vise,faire,1
niveau,amélioration,prestation,baisse,social,sécurité,prévoir,financement,1
nombre,ligne,colonne,substituer,vise,conséquence,mois,création,1
nombre,ligne,colonne,tableau,public,financement,national,an,1
nombre,ondam,besoin,ligne,santé,public,financement,maladie,1
nombre,ondam,ligne,colonne,santé,public,financement,maladie,1
nombre,ondam,ligne,second,santé,public,financement,maladie,1
nombre,poste,ligne,colonne,devoir,vise,financement,dispositif,1
nombre,professionnel,ligne,colonne,social,santé,vise,rédiger,1
nombre,santé,dernier,ligne,social,sécurité,maladie,national,1
naissance,prime,revenu,mois,social,sécurité,santé,vise,1
naissance,prime,mois,enfant,social,sécurité,santé,vise,1
naissance,prime,enfant,verser,devoir,permettre,faire,financement,1
médicament,vaccin,intérêt,thérapeutique,santé,vise,compléter,état,1
médicament,public,prix,investissement,social,sécurité,pouvoir,devoir,1
médicament,pénurie,pouvoir,mois,social,vise,permettre,insérer,1
médicament,rédiger,degré,efficacité,pouvoir,état,pourcent,cadre,1
médicament,santé,mois,pénurie,social,sécurité,pouvoir,financement,1
médicament,santé,public,majeur,sécurité,faire,insérer,rédiger,1
médicament,vaccin,dispositif,contre,insérer,national,objectif,entreprise,1
médicament,vente,prescription,unité,social,sécurité,pouvoir,santé,1
naissance,prime,enfant,date,rédiger,nouveau,proposer,dernier,1
méningite,vaccinal,bactérienne,sécurité,devoir,vise,permettre,public,1
métier,autonomie,travail,amélioration,social,sécurité,insérer,degré,1
naissance,enfant,prime,social,pouvoir,santé,vise,faire,1
naissance,enfant,prime,social,pouvoir,santé,vise,insérer,1
naissance,mois,enfant,prime,social,sécurité,permettre,insérer,1
naissance,mois,prime,grossesse,faire,insérer,rédiger,financement,1
place,nombre,france,pouvoir,permettre,faire,état,mettre,1
politique,santé,population,public,pouvoir,vise,faire,insérer,1
expérimentation,santé,attendre,national,pouvoir,vise,supprimer,public,1
produit,cannabis,entreprise,fournir,social,devoir,public,insérer,1
prix,révision,garantie,médicament,social,sécurité,vise,permettre,1
prix,révision,garantie,médicament,vise,permettre,rédiger,dispositif,1
prix,révision,médicament,an,santé,devoir,vise,permettre,1
prix,révision,médicament,garantie,vise,permettre,rédiger,dispositif,1
prix,révision,produit,soumettre,social,sécurité,pouvoir,santé,1
prix,révision,produit,sécurité,pouvoir,santé,vise,rédiger,1
prix,révision,sécurité,social,pouvoir,devoir,vise,faire,1
prix,santé,convention,public,permettre,dispositif,droit,proposer,1
prix,santé,convention,public,permettre,rédiger,dispositif,degré,1
prix,santé,convention,public,vise,permettre,insérer,dispositif,1
prix,santé,public,médicament,social,sécurité,permettre,insérer,1
prix,santé,révision,produit,social,sécurité,rédiger,compléter,1
prix,santé,transparence,médicament,vise,permettre,insérer,dispositif,1
procéder,déclaration,agricole,voie,pouvoir,supprimer,conséquence,disposition,1
procédure,insérer,échanger,rédactionnel,insérer,rédactionnel,procédure,échanger,1
prix,public,santé,médicament,permettre,rédiger,dispositif,degré,1
prix,médicament,révision,degré,pouvoir,santé,devoir,vise,1
prix,médicament,public,développement,social,sécurité,vise,insérer,1
prix,an,médicament,fixer,social,sécurité,devoir,vise,1
prise,charge,traitement,degré,pouvoir,vise,supprimer,rédiger,1
prise,degré,solde,sécurité,rédiger,disposition,bis,fonction,1
prise,feu,retraite,relatif,social,sécurité,vise,permettre,1
prix,achat,seuil,fixer,social,sécurité,pouvoir,vise,1
prix,an,fixer,début,social,sécurité,pouvoir,devoir,1
prix,an,fixer,début,social,sécurité,pouvoir,santé,1
prix,critère,médicament,france,social,sécurité,pouvoir,permettre,1
prix,médicament,public,convention,social,sécurité,vise,proposer,1
prix,médicament,accès,innovant,devoir,mise,france,mois,1
prix,médicament,bout,an,pouvoir,devoir,vise,permettre,1
prix,médicament,bout,an,pouvoir,santé,devoir,vise,1
prix,médicament,convention,public,vise,rédiger,proposer,conséquence,1
prix,médicament,degré,amélioration,social,sécurité,devoir,insérer,1
prix,médicament,degré,bout,social,sécurité,pouvoir,devoir,1
produit,autorisation,mise,marché,vise,permettre,nouveau,concerner,1
produit,information,santé,développement,faire,insérer,financement,mettre,1
prise,charge,souffrir,femme,social,sécurité,pouvoir,permettre,1
produit,inscription,dispositif,santé,pouvoir,devoir,faire,supprimer,1
professionnel,ordre,santé,remboursement,sécurité,devoir,supprimer,insérer,1
professionnel,représentant,syndicat,représentatif,vise,compléter,général,mettre,1
professionnel,sanction,condamnation,santé,permettre,faire,compléter,état,1
professionnel,santé,activité,taxe,devoir,charge,financement,général,1
professionnel,santé,libéral,affilié,devoir,vise,droit,maladie,1
professionnel,santé,libéral,affilié,financement,droit,maladie,général,1
professionnel,santé,organisme,fédérateur,devoir,vise,prévoir,général,1
professionnel,section,caisse,assurance,social,sécurité,santé,vise,1
professionnel,supprimer,sécurité,social,permettre,prévoir,financement,compléter,1
professionnel,taxe,activité,santé,vise,supprimer,charge,financement,1
professionnel,travail,accident,branche,social,sécurité,vise,faire,1
professionnel,travail,assurance,maladie,devoir,vise,public,dispositif,1
professionnel,travail,désinsertion,assurance,sécurité,pouvoir,vise,dispositif,1
professionnel,établissement,faire,assister,social,sécurité,pouvoir,santé,1
professionnel,établissement,social,handicap,faire,perte,proposer,conséquence,1
professionnel,maladie,travail,accident,santé,charge,pourcent,nouveau,1
professionnel,handicap,sanitaire,attractivité,pouvoir,devoir,permettre,faire,1
professionnel,chlordécone,maladie,an,pouvoir,compléter,état,dernier,1
produit,sucre,transformer,ajouter,social,devoir,rédiger,charge,1
produit,nouveau,taxe,alcooliser,faire,supprimer,proposer,relatif,1
produit,prix,médicament,santé,vise,permettre,rédiger,droit,1
produit,santé,médicament,atu,permettre,faire,prévoir,dispositif,1
produit,santé,sécurité,social,permettre,insérer,rédiger,prévoir,1
produit,sucre,transformer,ajouter,devoir,insérer,rédiger,charge,1
produit,sucre,transformer,ajouter,devoir,rédiger,charge,compléter,1
produit,sucre,transformer,ajouter,sécurité,devoir,public,rédiger,1
professionnel,chlordécone,compléter,délai,vise,faire,compléter,maladie,1
produit,tabac,minimum,perception,faire,public,rédiger,droit,1
produit,taxe,début,insérer,sécurité,pouvoir,santé,vise,1
produit,taxe,référence,degré,sécurité,pouvoir,santé,vise,1
produit,vente,pourcent,degré,social,sécurité,devoir,vise,1
profession,santé,pharmacien,occurrence,social,sécurité,pouvoir,insérer,1
professionnel,attractivité,métier,établissement,perte,cadre,mois,important,1
prise,charge,titre,traitement,pouvoir,vise,supprimer,rédiger,1
prise,charge,produit,indication,devoir,permettre,supprimer,insérer,1
pollution,industriel,cancer,bassin,vise,public,année,soin,1
pourcent,taux,rédiger,fixer,vise,financement,assurer,fin,1
pourcent,organisme,assurance,demander,santé,substituer,cotisation,taux,1
pourcent,prestation,pension,année,social,sécurité,faire,nouveau,1
pourcent,produit,taux,socialiste,social,sécurité,entreprise,création,1
pourcent,prélèvement,cotisation,retraite,social,sécurité,santé,devoir,1
pourcent,social,année,dispositif,devoir,faire,prévoir,degré,1
pourcent,social,compter,janvier,devoir,vise,supprimer,insérer,1
pourcent,social,devoir,entreprise,vise,faire,rédiger,charge,1
pourcent,social,exonération,activité,vise,supprimer,financement,degré,1
pourcent,suppression,social,taxe,devoir,vise,supprimer,prévoir,1
pourcent,taux,complémentaire,assurance,sécurité,santé,permettre,prévoir,1
pourcent,taux,droit,tabac,social,sécurité,pouvoir,devoir,1
pourcent,taux,inflation,social,sécurité,financement,année,proposer,1
pourcent,taux,livret,aspa,faire,prévoir,droit,prise,1
pourcent,taux,nombre,sécurité,financement,droit,général,organisme,1
pourcent,taux,organisme,assurance,social,sécurité,vise,prévoir,1
pourcent,nombre,dépense,prévoir,social,année,soin,national,1
pourcent,entreprise,taux,voter,devoir,vise,supprimer,prévoir,1
pourcent,entreprise,répartition,médicament,santé,devoir,vise,public,1
pourcent,bière,alcoométrique,vol,pouvoir,vise,public,rédiger,1
pompier,volontaire,sécurité,social,vise,faire,rédiger,charge,1
portabilité,complémentaire,salarié,droit,vise,faire,compléter,national,1
porter,catégorie,retraite,supprimer,pouvoir,supprimer,pourcent,ensemble,1
possibilité,cotisant,faire,assister,compléter,modalité,convier,procéder,1
possibilité,second,sécurité,social,social,sécurité,rédiger,compléter,1
postnatal,accouchement,entretien,femme,public,rédiger,compléter,pourcent,1
pourcent,branche,dépense,recette,état,soin,perte,établissement,1
pourcent,entreprise,année,social,faire,public,insérer,rédiger,1
pourcent,caisse,national,heure,pouvoir,droit,nouveau,assurance,1
pourcent,collectivité,agent,retenue,social,sécurité,vise,supprimer,1
pourcent,compter,janvier,contribution,pouvoir,devoir,public,insérer,1
pourcent,dispositif,social,année,devoir,faire,rédiger,prévoir,1
pourcent,dépassement,honoraire,acte,social,sécurité,permettre,public,1
pourcent,dépassement,tarif,opposable,social,sécurité,pouvoir,santé,1
pourcent,taux,organisme,assurance,social,sécurité,vise,rédiger,1
pourcent,taxe,jeune,alcool,social,sécurité,santé,vise,1
prise,charge,bilan,physique,sécurité,financement,maladie,état,1
pourcent,taxe,organisme,titre,social,sécurité,pouvoir,faire,1
prestation,million,familial,insérer,insérer,degré,pourcent,taux,1
prestation,répertoire,social,envisager,national,an,disposition,mise,1
prestation,social,date,montant,sécurité,permettre,faire,insérer,1
prestation,social,ensemble,information,sécurité,vise,rédiger,organisme,1
prestation,social,inflation,revalorisation,sécurité,supprimer,prévoir,général,1
prestation,social,inflation,supprimer,sécurité,prévoir,maladie,général,1
prestation,social,sécurité,compléter,sécurité,rédiger,compléter,droit,1
prime,employeur,salarié,rédiger,sécurité,vise,permettre,supprimer,1
prime,entreprise,exceptionnel,condition,vise,permettre,faire,supprimer,1
prime,naissance,enfant,mois,social,sécurité,pouvoir,faire,1
prime,naissance,mois,date,social,sécurité,devoir,faire,1
prime,naissance,mois,date,social,sécurité,pouvoir,devoir,1
prime,professionnel,département,pouvoir,social,faire,compléter,général,1
prime,social,entreprise,salarié,sécurité,permettre,insérer,pourcent,1
prime,versement,juin,covid,compléter,condition,professionnel,assurer,1
prestation,insérer,degré,bis,vise,insérer,degré,pourcent,1
prestation,insérer,degré,bis,social,sécurité,faire,insérer,1
prestation,fraude,social,droit,pouvoir,vise,faire,insérer,1
pouvoir,obligation,substituer,remplacer,permettre,dispositif,maladie,état,1
pourcent,vaccinal,france,vaccin,faire,maladie,état,année,1
pouvoir,compléter,autorisation,délai,santé,devoir,supprimer,dispositif,1
pouvoir,devoir,année,perte,social,sécurité,permettre,insérer,1
pouvoir,décret,dérogation,risque,permettre,public,compléter,maladie,1
pouvoir,délai,carence,demandeur,social,santé,vise,faire,1
pouvoir,insérer,salarié,accord,insérer,dispositif,prendre,professionnel,1
pouvoir,prime,achat,exceptionnel,vise,faire,prévoir,état,1
prestation,famille,familial,million,vise,insérer,degré,année,1
pouvoir,prime,entreprise,salarié,social,sécurité,permettre,insérer,1
pouvoir,prêt,enfant,évaluer,social,sécurité,santé,permettre,1
pouvoir,supprimer,prévoit,réglementaire,supprimer,charge,soin,condition,1
pouvoir,terme,obligation,substituer,devoir,supprimer,dispositif,maladie,1
prendre,naissance,père,temps,pouvoir,insérer,prévoir,cas,1
prestation,agir,parlement,accueil,vise,permettre,faire,établissement,1
médical,biologie,examen,professionnel,faire,rédiger,compléter,organisme,1
médecin,zone,territoire,santé,pouvoir,permettre,insérer,rédiger,1
médecin,zone,libéral,santé,vise,public,insérer,rédiger,1
heure,assistant,maternel,homme,social,pouvoir,devoir,vise,1
garantie,sécurité,vigilance,compléter,devoir,faire,compléter,sanitaire,1
garde,mode,famille,public,social,sécurité,devoir,vise,1
garde,mode,public,famille,devoir,vise,faire,prévoir,1
gestion,émotion,cancer,accompagnemer,pouvoir,santé,devoir,vise,1
gramme,santé,pouvoir,sécurité,faire,charge,année,conséquence,1
grossesse,médecin,suivi,ailleurs,social,sécurité,pouvoir,vise,1
groupe,jeunesse,supprimer,introduire,social,pouvoir,devoir,supprimer,1
groupe,pourcent,jeunesse,supprimer,social,pouvoir,devoir,faire,1
groupement,substituer,conséquence,degré,santé,public,insérer,national,1
guadeloupe,transport,tpmr,système,vise,faire,rédiger,compléter,1
guichet,unique,départemental,autonomie,social,sécurité,vise,prévoir,1
guichet,unique,substituer,justifier,substituer,justifier,texte,unique,1
gynécologie,obstétrique,unité,établissement,pouvoir,devoir,vise,public,1
générique,degré,groupe,officiel,vise,supprimer,rédiger,financement,1
hauteur,pourcent,revenu,insérer,social,devoir,insérer,cotisation,1
fédération,médical,établissement,santé,pouvoir,vise,charge,compléter,1
fraude,social,prestation,lutte,sécurité,état,pourcent,organisme,1
fraude,social,prestation,fois,vise,faire,public,national,1
français,insérer,sécurité,social,social,sécurité,insérer,français,1
fonds,social,charger,sein,sécurité,devoir,insérer,cas,1
forfait,supprimer,urgence,soin,santé,faire,charge,disposition,1
forfait,urgence,devoir,acquitter,social,santé,faire,charge,1
formation,accès,condition,aide,devoir,permettre,faire,dispositif,1
formation,désescalade,agressivité,violence,pouvoir,santé,permettre,faire,1
france,produit,production,union,santé,rédiger,compléter,nouveau,1
fraude,chapitre,prestation,social,santé,rédiger,compléter,titre,1
fraude,social,obligation,familial,sécurité,vise,rédiger,compléter,1
fraude,prestation,social,degré,sécurité,supprimer,insérer,rédiger,1
fraude,prestation,social,million,permettre,faire,insérer,rédiger,1
fraude,prestation,social,pénal,année,dernier,concerner,mois,1
fraude,social,ampleur,branche,sécurité,état,pourcent,année,1
fraude,social,matière,expérimentation,faire,prévoir,dispositif,proposer,1
fraude,social,matière,expérimentation,sécurité,faire,prévoir,dispositif,1
heure,aide,domicile,professionnel,permettre,dispositif,compléter,an,1
heure,supplémentaire,social,salarié,insérer,rédiger,financement,compléter,1
fonds,produit,phytopharmaceutique,pathologie,charge,financement,compléter,proposer,1
heure,supplémentaire,travail,rémunération,rédiger,dispositif,degré,général,1
impact,qualité,vie,travail,social,sécurité,financement,an,1
imputabilité,substituer,pathologie,rédactionnel,substituer,rédactionnel,pathologie,imputabilité,1
impôt,titre,fortune,chapitre,pouvoir,insérer,pourcent,organisme,1
indemnisation,aidant,prendre,ensemble,social,faire,compléter,général,1
indemnisation,exposition,pathologie,lier,pouvoir,devoir,insérer,prévoir,1
indemnisation,victime,fonds,délai,vise,rédiger,titre,dernier,1
indemnisation,victime,nomenclature,pesticide,social,sécurité,vise,prévoir,1
indemnité,feu,pompier,supprimer,social,sécurité,pouvoir,devoir,1
indemnité,feu,reconnaissance,service,social,sécurité,devoir,vise,1
indemnité,feu,supprimer,sécurité,social,pouvoir,vise,faire,1
indemnité,journalier,famille,maladie,vise,rédiger,charge,national,1
indemnité,journalier,majoration,charge,pouvoir,rédiger,prévoir,droit,1
indemnité,journalier,parent,famille,faire,supprimer,prévoir,droit,1
indemnité,journalier,parent,taux,vise,maladie,national,agir,1
indicateur,activité,prendre,nature,social,vise,insérer,rédiger,1
impact,maternité,offre,hébergement,pouvoir,vise,prévoir,compléter,1
impact,budget,sécurité,social,faire,prévoir,dispositif,état,1
identifier,registre,autorité,patient,pouvoir,devoir,insérer,général,1
hypertension,artériel,expérimentation,déploiement,vise,supprimer,dispositif,national,1
homéopathie,médicament,social,risque,vise,permettre,dernier,cas,1
honoraire,conventionnel,maximal,substituer,substituer,rédactionnel,tirer,tiré,1
hospitalier,hôpital,ouverture,reprise,devoir,insérer,nouveau,prendre,1
