"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)",0
social,sécurité,disposition,supprimer,financement,état,1
santé,prévention,bilan,social,pouvoir,devoir,1
santé,social,sécurité,vise,public,compléter,1
psychiatrique,commission,départemental,devoir,supprimer,dernier,1
santé,social,sécurité,public,compléter,patient,1
santé,service,hôpital,sécurité,supprimer,charge,1
santé,service,armée,social,sécurité,compléter,1
santé,répartition,régional,vise,public,rédiger,1
social,sécurité,cotisation,pouvoir,vise,insérer,1
santé,répartition,régional,social,permettre,public,1
taux,pourcent,conséquence,santé,devoir,charge,1
suivi,représentant,comité,santé,permettre,supprimer,1
santé,public,priver,prévoir,état,nouveau,1
taux,pourcent,sécurité,permettre,faire,public,1
santé,public,compléter,compléter,établissement,dernier,1
taux,pourcent,produit,permettre,maladie,substituer,1
santé,psychiatrie,financement,supprimer,compléter,proposer,1
santé,prévention,supprimer,social,sécurité,vise,1
social,sécurité,cotisation,vise,permettre,insérer,1
taux,pourcent,substituer,année,organisme,substituer,1
taux,pourcent,substituer,social,prendre,objectif,1
social,sécurité,degré,pouvoir,devoir,vise,1
santé,questionnaire,autoévaluation,vise,supprimer,nouveau,1
particulier,recourir,entreprise,social,devoir,rédiger,1
psychiatrie,patient,défendre,permettre,droit,état,1
degré,référence,organe,santé,vise,proposer,1
degré,produit,fonds,rédiger,national,bis,1
degré,produit,fonds,rédiger,national,substituer,1
degré,public,agent,insérer,prévoir,année,1
degré,remplacer,b,compléter,dernier,numéro,1
degré,rédiger,allocation,devoir,vise,droit,1
degré,rédiger,début,pouvoir,public,rédiger,1
degré,référence,santé,permettre,supprimer,rédiger,1
degré,pourcent,vol,rédiger,général,titre,1
degré,référence,substituer,substituer,degré,référence,1
degré,référence,substituer,vise,insérer,soin,1
degré,référence,supprimer,vise,supprimer,insérer,1
degré,rétablir,rédaction,social,sécurité,santé,1
degré,santé,mise,compléter,année,soin,1
degré,santé,public,social,sécurité,insérer,1
degré,prix,médicament,social,sécurité,devoir,1
degré,origin,pièce,pouvoir,santé,faire,1
degré,second,b,sécurité,supprimer,insérer,1
degré,insérer,conséquence,insérer,compléter,conséquence,1
degré,exonération,organe,social,supprimer,rédiger,1
degré,exonération,organe,vise,faire,prévoir,1
degré,groupement,conséquence,santé,public,insérer,1
degré,indemnité,activité,financement,état,général,1
degré,insérer,bis,social,sécurité,santé,1
degré,insérer,bis,supprimer,insérer,bis,1
degré,maladie,libéral,vise,faire,financement,1
degré,origin,pièce,pouvoir,devoir,compléter,1
degré,modifier,rédiger,social,sécurité,supprimer,1
degré,médecin,zone,insérer,rédiger,état,1
degré,médecin,zone,vise,permettre,insérer,1
degré,médicament,cadre,pouvoir,devoir,permettre,1
degré,observatoir,remplacer,rédiger,compléter,conséquence,1
degré,organe,urgence,santé,dernier,substituer,1
degré,santé,substitution,pouvoir,permettre,supprimer,1
degré,semaine,reprise,permettre,financement,national,1
degré,dépassement,santé,devoir,vise,permettre,1
dispositif,consigne,assurer,vise,charge,état,1
die,clairette,degré,social,sécurité,devoir,1
dignité,attractivité,insérer,vise,insérer,objectif,1
dignité,bénéficiaire,aide,vise,insérer,conséquence,1
disponibilité,pouvoir,accueil,devoir,public,rédiger,1
dispositif,agricole,général,vise,faire,public,1
dispositif,bénéficier,prise,social,sécurité,santé,1
dispositif,délai,parlement,santé,vise,financement,1
dialyse,domicile,expérimentation,pouvoir,permettre,prévoir,1
dispositif,fin,patient,sécurité,vise,permettre,1
dispositif,fonds,victime,pouvoir,santé,permettre,1
dispositif,médical,innovant,supprimer,mettre,place,1
dispositif,médical,liste,social,sécurité,rédiger,1
dispositif,pérennisation,concurrence,social,sécurité,devoir,1
dispositif,raison,risque,social,santé,faire,1
dialyse,qualité,acte,social,sécurité,santé,1
devoir,sécurité,vigilance,pouvoir,faire,substituer,1
degré,social,condamnation,devoir,insérer,rédiger,1
degré,urgence,charge,pouvoir,santé,vise,1
degré,social,sécurité,pouvoir,devoir,droit,1
degré,substituer,santé,santé,public,substituer,1
degré,supprimer,conséquence,vise,supprimer,rédiger,1
degré,sécurité,social,devoir,faire,rédiger,1
degré,sécurité,social,pouvoir,devoir,vise,1
degré,taux,cotisation,pouvoir,devoir,vise,1
demande,pouvoir,présenter,vise,prévoir,compléter,1
devoir,origin,pièce,pouvoir,faire,dispositif,1
dernier,substituer,occurrence,substituer,occurrence,dernier,1
destiner,financement,santé,social,vise,compléter,1
dette,social,degré,sécurité,pouvoir,vise,1
dette,supprimer,santé,sécurité,devoir,permettre,1
dette,tiers,établissement,supprimer,public,état,1
devoir,entreprise,btp,faire,charge,droit,1
degré,entreprise,décembre,sécurité,pouvoir,devoir,1
degré,dossier,juge,permettre,insérer,proposer,1
faire,dispositif,père,vise,permettre,public,1
cotisation,contribution,décret,permettre,faire,supprimer,1
correction,insérer,déclarant,insérer,rédactionnel,correction,1
corse,degré,collectivité,social,sécurité,santé,1
cotisant,faire,assister,rédiger,compléter,droit,1
cotisant,informer,possibilité,compléter,droit,cadre,1
cotisation,allègement,emploi,social,sécurité,permettre,1
cotisation,contribution,devoir,sécurité,condition,titre,1
cotisation,contribution,social,sécurité,vise,prévoir,1
coordination,santé,modalité,devoir,vise,établissement,1
cotisation,degré,titre,rédiger,financement,national,1
cotisation,employeur,salaire,social,supprimer,droit,1
cotisation,employeur,salaire,social,supprimer,rédiger,1
cotisation,maladie,caisse,sécurité,vise,permettre,1
cotisation,organisme,complémentaire,social,sécurité,devoir,1
cotisation,régime,b,social,sécurité,pouvoir,1
correction,fin,substituer,substituer,fin,correction,1
coordination,besoin,territoire,pouvoir,vise,insérer,1
cotisation,spécifique,créer,sécurité,devoir,permettre,1
contribution,impôt,succession,pouvoir,insérer,droit,1
contribution,autonomie,créer,prévoir,charge,compléter,1
contribution,autonomie,succession,sécurité,permettre,faire,1
contribution,cotisation,mutualiste,insérer,prévoir,charge,1
contribution,dispositif,médical,public,pourcent,mettre,1
contribution,exceptionnel,social,pouvoir,devoir,faire,1
contribution,impôt,succession,pouvoir,droit,général,1
contribution,impôt,succession,pouvoir,insérer,national,1
coordination,acteur,participer,social,insérer,degré,1
contribution,section,iv,pouvoir,vise,insérer,1
contribution,urp,santé,social,sécurité,public,1
contrôle,qualité,certification,sécurité,pouvoir,santé,1
contrôle,sécurité,social,vise,permettre,faire,1
convention,report,actuel,vise,permettre,prévoir,1
convention,suppression,échéance,santé,supprimer,année,1
cotisation,social,pourcent,sécurité,insérer,financement,1
cotisation,substituer,concerner,social,sécurité,nouveau,1
degré,distributeur,exploiter,pouvoir,santé,charge,1
degré,charge,participation,santé,supprimer,prévoir,1
date,vigueur,enfant,disposition,substituer,relatif,1
degré,an,fonds,pouvoir,santé,prévoir,1
degré,année,second,sécurité,devoir,insérer,1
degré,b,numéro,insérer,droit,substituer,1
degré,b,substituer,substituer,relever,référence,1
degré,bénéficiaire,dispositif,pouvoir,vise,supprimer,1
degré,charge,place,santé,devoir,vise,1
date,substituer,septembre,sécurité,devoir,dispositif,1
degré,charge,référence,pouvoir,santé,dispositif,1
degré,charge,référence,pouvoir,santé,vise,1
degré,charge,urgence,pouvoir,santé,supprimer,1
degré,commission,insérer,santé,vise,rédiger,1
degré,conséquence,soin,vise,supprimer,rédiger,1
degré,cotisation,prévoir,santé,vise,droit,1
date,téléconsultation,assurance,vise,dispositif,pourcent,1
date,septembre,report,vise,proposer,an,1
crcm,financement,centre,santé,devoir,soin,1
date,décembre,substituer,pouvoir,vise,dispositif,1
critère,financement,dotation,santé,devoir,vise,1
critère,financement,social,santé,devoir,vise,1
critère,âge,revenu,devoir,vise,insérer,1
crédit,devoir,aide,social,sécurité,insérer,1
date,crise,substituer,sécurité,compléter,droit,1
date,degré,décembre,santé,permettre,soin,1
date,décembre,ségur,social,pouvoir,faire,1
date,rédiger,fin,rédiger,fin,publication,1
date,janvier,prévoit,pouvoir,supprimer,public,1
date,janvier,transfert,social,vise,permettre,1
date,mars,décembre,social,pouvoir,faire,1
date,mars,tard,national,nouveau,objectif,1
date,octobre,fin,vise,national,substituer,1
date,octobre,substituer,vise,national,substituer,1
dispositif,salarié,supprimer,sécurité,vise,permettre,1
dispositif,stupéfiant,social,santé,permettre,faire,1
dispositif,supprimer,consigne,faire,prévoir,cas,1
entreprise,économique,cause,pouvoir,vise,prévoir,1
entreprise,salarié,utilisateur,prévoir,objectif,substituer,1
entreprise,social,charge,pouvoir,devoir,permettre,1
entreprise,social,compléter,pouvoir,devoir,rédiger,1
entreprise,social,salaire,rédiger,prévoir,droit,1
entreprise,spécialité,stock,faire,insérer,prévoir,1
entreprise,travail,embauch,pouvoir,vise,faire,1
entretien,accouchement,précoce,pouvoir,devoir,faire,1
entreprise,salarié,prime,social,sécurité,insérer,1
entretien,contrôler,proposer,rédiger,prévoir,compléter,1
entretien,femme,prénatal,pouvoir,vise,public,1
entretien,mère,santé,pouvoir,devoir,permettre,1
entretien,prénatal,précoce,pouvoir,permettre,dispositif,1
esat,emploi,handicaper,pouvoir,financement,nouveau,1
eti,entreprise,taille,devoir,faire,rédiger,1
entreprise,salarié,travail,sécurité,pouvoir,devoir,1
entreprise,salarié,fois,social,sécurité,vise,1
européen,social,impôt,pouvoir,faire,supprimer,1
entreprise,importation,pharmaceutique,sécurité,devoir,vise,1
ensemble,enfant,nécessaire,insérer,rédiger,national,1
ensemble,période,atteindre,substituer,fin,rédactionnel,1
entreprise,assurer,importation,substituer,rédactionnel,spécialité,1
entreprise,contribution,exploiter,devoir,vise,dispositif,1
entreprise,degré,social,sécurité,devoir,permettre,1
entreprise,devoir,année,sécurité,vise,permettre,1
entreprise,mois,fourniture,dispositif,compléter,mise,1
entreprise,salarié,employeur,social,sécurité,pouvoir,1
entreprise,obligation,émission,sécurité,devoir,vise,1
entreprise,pourcent,dépense,social,sécurité,pouvoir,1
entreprise,produit,expérimentation,social,santé,devoir,1
entreprise,recherche,bis,public,insérer,rédiger,1
entreprise,recherche,financement,social,sécurité,public,1
entreprise,répartition,pharmaceutique,santé,permettre,public,1
européen,règlement,produit,social,an,dernier,1
européen,social,travailleur,pouvoir,devoir,vise,1
disposition,début,substituer,substituer,début,disposition,1
expérimentation,prévoir,financement,supprimer,dispositif,compléter,1
expérimentation,ministre,charger,pouvoir,permettre,compléter,1
expérimentation,ministère,charge,pouvoir,permettre,prévoir,1
expérimentation,patient,dispositif,social,sécurité,financement,1
expérimentation,pouvoir,opticien,social,sécurité,faire,1
expérimentation,pouvoir,service,social,prévoir,charge,1
expérimentation,prévoir,financement,supprimer,dispositif,année,1
expérimentation,prévoir,substituer,dispositif,substituer,prévoir,1
expérimentation,femme,instrumental,sécurité,vise,supprimer,1
expérimentation,saad,engagement,supprimer,financement,état,1
expérimentation,santé,attendre,pouvoir,vise,supprimer,1
expérimentation,santé,instrumental,sécurité,vise,supprimer,1
facteur,garantie,pluriannuel,devoir,vise,insérer,1
facturation,direct,fides,social,sécurité,santé,1
facturation,fides,financement,pouvoir,santé,rédiger,1
expérimentation,instrumental,sage,sécurité,vise,supprimer,1
expérimentation,charge,santé,vise,faire,supprimer,1
examen,insérer,condition,supprimer,insérer,condition,1
exonération,cotisation,entreprise,pouvoir,vise,permettre,1
exercer,sein,travail,vise,public,dispositif,1
existence,contrôle,pension,vise,faire,rédiger,1
existence,contrôle,régime,santé,vise,public,1
existence,justifier,auprès,vise,rédiger,prévoir,1
existence,pension,retraite,devoir,vise,rédiger,1
exonération,but,lucratif,faire,compléter,degré,1
exonération,dispositif,agricole,devoir,vise,permettre,1
expérimentation,attendre,santé,pouvoir,vise,supprimer,1
exonération,dispositif,agricole,social,sécurité,devoir,1
exonération,dispositif,patronal,vise,rédiger,prévoir,1
exonération,dispositif,social,sécurité,vise,permettre,1
exonération,smic,social,pouvoir,devoir,faire,1
exonération,supprimer,application,social,sécurité,pouvoir,1
exonération,travailleur,emploi,devoir,vise,permettre,1
engendrer,crise,assurance,supprimer,général,année,1
enfant,semaine,durée,vise,conséquence,condition,1
enfant,degré,paternité,vise,prévoir,mettre,1
droit,allocation,sécurité,vise,rédiger,concerner,1
dotation,soin,hospitalier,devoir,vise,insérer,1
douleur,contre,lutte,devoir,permettre,prévoir,1
douleur,contre,plan,social,sécurité,pouvoir,1
droit,allocation,invalidité,devoir,rédiger,dispositif,1
droit,allocation,invalidité,santé,vise,rédiger,1
droit,allocation,sécurité,vise,insérer,rédiger,1
droit,an,bénéficier,social,sécurité,vise,1
dotation,répartition,populationnell,pouvoir,vise,financement,1
droit,assurer,allocation,vise,rédiger,prévoir,1
droit,attribuer,régime,permettre,faire,public,1
droit,bière,accise,social,sécurité,vise,1
droit,bénéficiaire,complémentaire,social,devoir,vise,1
durée,janvier,contrat,sécurité,devoir,vise,1
durée,maximal,insérer,devoir,insérer,conséquence,1
dotation,répartition,populationnell,pouvoir,vise,rédiger,1
dotation,motiver,organisation,faire,rédiger,degré,1
enfant,charge,allocation,pouvoir,insérer,compléter,1
domicile,salarié,aide,devoir,vise,charge,1
disposition,insérer,relevant,insérer,disposition,domaine,1
disposition,préciser,référence,vise,charge,financement,1
disposition,rédiger,fin,social,rédiger,assurance,1
distributeur,insérer,détail,insérer,conséquence,procéder,1
dividende,entreprise,pharmaceutique,social,sécurité,pouvoir,1
domicile,autonomie,soin,pouvoir,vise,permettre,1
domicile,soin,réaliser,sécurité,pouvoir,santé,1
dotation,fonction,résultat,santé,faire,financement,1
domicile,soin,réaliser,sécurité,santé,devoir,1
domicile,travail,accident,devoir,permettre,dispositif,1
donneur,financier,exonération,social,sécurité,vise,1
donnée,entreprise,objectif,insérer,dispositif,droit,1
donnée,obtenir,interconnexion,pouvoir,vise,permettre,1
donnée,qualité,vie,pouvoir,santé,devoir,1
durée,maximale,totale,vise,compléter,conséquence,1
durée,paternité,enfant,santé,devoir,vise,1
débat,supprimer,allongement,proposer,disposition,dernier,1
dépistage,infection,biologie,vise,faire,public,1
dématérialisation,prescription,relatif,social,vise,charge,1
département,part,financement,vise,insérer,national,1
dépense,dispositif,médical,pouvoir,santé,devoir,1
dépense,montant,ondam,social,sécurité,pouvoir,1
dépense,section,insérer,social,sécurité,devoir,1
dépense,soin,ville,pouvoir,permettre,rédiger,1
développement,bis,médicament,pouvoir,rédiger,financement,1
début,dernier,substituer,établissement,dernier,substituer,1
effort,priver,tableau,santé,public,rédiger,1
ehpad,lucratif,nombre,faire,année,an,1
employeur,cotisation,complémentaire,social,sécurité,faire,1
employeur,degré,tâche,social,vise,supprimer,1
employeur,respect,obligation,pouvoir,compléter,agir,1
enfant,allocation,aeeh,devoir,charge,degré,1
délai,santé,pouvoir,compléter,disposition,objectif,1
délai,jour,travailleur,pouvoir,santé,devoir,1
délai,fixer,mois,devoir,vise,état,1
délai,compter,indemnisation,vise,état,année,1
déjà,vise,retirer,vise,faire,nouveau,1
définition,produit,faire,social,vise,rédiger,1
définir,substituer,modèle,condition,substituer,modèle,1
déduction,employeur,supprimer,devoir,vise,supprimer,1
décret,ssiad,personnel,devoir,public,prévoir,1
décret,pouvoir,prolonger,vise,permettre,faire,1
décret,jour,minimal,pouvoir,prévoir,activité,1
décret,application,disposition,social,sécurité,santé,1
décider,supprimer,dispose,social,supprimer,disposition,1
décembre,juin,réalisation,pouvoir,permettre,substituer,1
décembre,cours,année,vise,faire,organisme,1
débute,tard,an,permettre,charge,compléter,1
début,supprimer,dérogation,supprimer,général,impôt,1
contribution,autonomie,créer,insérer,prévoir,charge,1
contribution,annonceur,publicité,vise,permettre,insérer,1
contrat,réseau,soin,sécurité,pouvoir,vise,1
année,sauvegarde,substituer,pouvoir,permettre,faire,1
année,emploi,fin,social,sécurité,devoir,1
année,financement,activité,devoir,substituer,fin,1
année,financement,activité,santé,devoir,insérer,1
année,pourcent,social,permettre,droit,général,1
année,pouvoir,contribution,santé,insérer,dispositif,1
année,pouvoir,prolonger,sécurité,devoir,faire,1
année,social,sécurité,devoir,vise,faire,1
année,devoir,revenu,sécurité,prévoir,droit,1
année,substituer,conséquence,conséquence,venir,date,1
année,substituer,erreur,substituer,matériel,année,1
année,sécurité,social,charge,compléter,organisme,1
année,sécurité,social,devoir,vise,dispositif,1
anormalement,détériorer,irrémédiablement,pouvoir,prévoir,maladie,1
ansm,taux,supplémentaire,social,santé,financement,1
année,dispositif,montant,social,pouvoir,insérer,1
année,cours,entreprise,pouvoir,devoir,vise,1
apa,taux,pourcent,national,conséquence,titre,1
amélioration,condition,travail,vise,insérer,aide,1
alcool,risque,pourcent,santé,faire,public,1
aller,entreprise,supprimer,devoir,vise,charge,1
allocation,droit,invalidité,social,sécurité,vise,1
allocation,droit,sécurité,vise,rédiger,dispositif,1
allocation,remplacement,prévoir,sécurité,pouvoir,santé,1
allocation,âgé,aspa,pouvoir,devoir,permettre,1
an,second,substituer,vise,substituer,mois,1
année,cotisation,cas,social,vise,faire,1
an,sécurité,social,social,sécurité,vise,1
ancienneter,permettre,an,vise,insérer,droit,1
annoncer,sécurité,social,supprimer,nouveau,concerner,1
année,chiffre,affaire,pouvoir,vise,insérer,1
année,conséquence,devoir,social,sécurité,prévoir,1
année,conséquence,fin,social,sécurité,devoir,1
antérieur,journalier,substituer,substituer,journalier,antérieur,1
applique,rédiger,condition,rédiger,degré,condition,1
autonomie,programmation,branche,public,financement,compléter,1
audiovisuel,social,perte,pouvoir,supprimer,public,1
assurance,substituer,régime,substituer,régime,obligatoire,1
assurance,vieilless,médecin,pouvoir,devoir,vise,1
assureur,crise,taxe,social,sécurité,pouvoir,1
attractivité,substituer,amélioration,vise,compléter,perte,1
atu,médicament,dispositif,devoir,vise,permettre,1
atu,thérapeutique,information,pouvoir,devoir,vise,1
autonomie,attractivité,métier,pouvoir,devoir,compléter,1
assurance,maladie,établissement,social,sécurité,permettre,1
autonomie,branche,social,prévoir,financement,compléter,1
autonomie,contribution,créer,insérer,prévoir,charge,1
autonomie,financeur,politique,social,supprimer,charge,1
autonomie,maison,départemental,vise,conséquence,dernier,1
autonomie,million,nombre,santé,financement,national,1
autonomie,métier,handicap,vise,insérer,financement,1
assurance,organisme,régir,devoir,vise,faire,1
assurance,maladie,santé,public,rédiger,prévoir,1
arrêt,sage,femme,social,sécurité,insérer,1
assistant,maternel,disponibilité,devoir,insérer,relatif,1
arrêt,travail,femme,permettre,faire,charge,1
arrêt,travail,femme,social,sécurité,santé,1
arrêt,travail,nombre,vise,droit,mettre,1
assistant,coordonnée,supprimer,pouvoir,droit,général,1
assistant,france,maternel,social,santé,devoir,1
assistant,maternel,accueil,devoir,faire,proposer,1
assistant,maternel,site,permettre,faire,supprimer,1
assurance,chômage,disposition,supprimer,financement,droit,1
assistant,maternel,site,supprimer,cas,prévoit,1
assistant,maternel,venir,nouveau,cas,concerner,1
association,degré,général,dispositif,droit,proposer,1
association,perte,recette,social,sécurité,vise,1
assurance,acteur,mutualiste,social,sécurité,santé,1
assurance,acteur,sécurité,santé,devoir,vise,1
alcool,risque,pourcent,faire,public,rédiger,1
alcool,pourcent,bière,sécurité,santé,vise,1
alcool,montant,taxe,pouvoir,cas,substituer,1
activité,degré,tarification,social,sécurité,devoir,1
actionnaire,dividende,contribution,permettre,rédiger,financement,1
activité,agricole,régime,social,pouvoir,dispositif,1
activité,cotisation,professionnel,rédiger,charge,financement,1
activité,cotisation,professionnel,supprimer,financement,droit,1
activité,cotisation,travailleur,social,supprimer,droit,1
activité,degré,tarification,devoir,faire,charge,1
activité,filière,final,social,sécurité,pouvoir,1
acteur,problématique,ensemble,sécurité,santé,insérer,1
activité,fin,substituer,vise,faire,charge,1
activité,particulier,bancaire,permettre,compléter,cas,1
activité,régime,relever,pouvoir,dispositif,compléter,1
activité,social,cessation,permettre,pourcent,proposer,1
activité,volume,recette,devoir,public,financement,1
activité,volume,recette,devoir,supprimer,public,1
action,financement,projet,santé,faire,rédiger,1
acte,zone,définir,social,sécurité,santé,1
aider,aidant,date,social,sécurité,pouvoir,1
accueil,niveau,devoir,pouvoir,permettre,faire,1
abroger,rédiger,degré,supprimer,rédiger,degré,1
académique,médicament,dépense,public,prévoir,financement,1
accident,assurance,substituer,social,maladie,professionnel,1
accident,travail,salarié,pouvoir,insérer,rédiger,1
accord,fractionnement,jour,pouvoir,rédiger,établissement,1
accueil,collectivité,territorial,santé,permettre,insérer,1
accueil,site,assistant,pouvoir,devoir,faire,1
acte,santé,prestation,supprimer,charge,compléter,1
accès,couvertur,numérique,faire,public,dispositif,1
accès,médicament,atu,permettre,supprimer,nouveau,1
accès,précoce,haute,pouvoir,permettre,faire,1
accès,retraité,social,vise,financement,droit,1
accès,unité,femme,faire,rédiger,état,1
acte,nomenclature,médical,santé,permettre,faire,1
activité,établissement,pouvoir,social,permettre,insérer,1
activité,établissement,taux,social,permettre,insérer,1
adopter,sénat,nouveau,social,supprimer,public,1
aidant,jeune,santé,sécurité,devoir,rédiger,1
agricole,salarié,régime,public,droit,état,1
agricole,social,contrôle,pouvoir,vise,insérer,1
agriculteur,chlordécone,surveillance,devoir,vise,public,1
agriculteur,exonération,exploitation,devoir,dispositif,droit,1
agrément,assistant,maternel,supprimer,public,cas,1
agrément,obligation,maternel,pouvoir,vise,compléter,1
aidant,pourcent,jeune,vise,insérer,mettre,1
adopter,sénat,vise,social,vise,supprimer,1
aide,domicile,attractivité,vise,faire,financement,1
aide,domicile,deuil,pouvoir,devoir,prévoir,1
aide,département,salaire,devoir,financement,dispositif,1
aide,département,salaire,devoir,rédiger,financement,1
aide,supprimer,prévoit,supprimer,proposer,prévoit,1
aide,établissement,investissement,social,sécurité,santé,1
agricole,niveau,pension,pouvoir,permettre,faire,1
agricole,dispositif,sécurité,devoir,permettre,rédiger,1
agricole,conjoint,collaborateur,santé,permettre,année,1
agir,pourcent,nombre,social,sécurité,santé,1
agir,nombre,juillet,social,sécurité,santé,1
agir,contribution,titre,social,sécurité,santé,1
agent,établissement,public,devoir,faire,compléter,1
agent,fonction,public,social,devoir,vise,1
agence,central,substituer,social,sécurité,prévoir,1
affiliation,travailleur,salarier,sécurité,vise,permettre,1
affecter,substituer,fonds,substituer,fonds,rédactionnel,1
aeeh,supprimer,vise,devoir,vise,état,1
aeeh,branche,autonomie,vise,faire,supprimer,1
aeeh,allocation,concertation,faire,prévoir,titre,1
adulte,établissement,place,social,devoir,prévoir,1
adulte,établissement,place,social,devoir,charge,1
adulte,établissement,enfant,public,charge,perte,1
autonomie,pourcent,asseoir,faire,insérer,financement,1
autonomie,question,traiter,social,sécurité,supprimer,1
contrat,pouvoir,installation,social,vise,prévoir,1
coefficient,géographique,zone,social,santé,vise,1
choix,libre,insérer,vise,insérer,dispositif,1
cinéma,activité,dispositif,pouvoir,vise,supprimer,1
club,sportif,professionnel,social,devoir,vise,1
coefficient,géographique,garantie,santé,devoir,vise,1
coefficient,géographique,revalorisation,devoir,faire,charge,1
coefficient,géographique,revalorisation,faire,financement,état,1
coefficient,géographique,établissement,faire,charge,financement,1
choix,dispositif,médical,faire,degré,substituer,1
collectivité,compléter,titre,compléter,mettre,titre,1
comité,complémentaire,santé,devoir,vise,public,1
comité,hospitalisation,public,vise,charge,financement,1
comité,hospitalisation,santé,prévoir,charge,financement,1
comité,hospitalisation,santé,social,sécurité,prévoir,1
comité,suivi,création,social,sécurité,pouvoir,1
choix,libre,insérer,faire,insérer,dispositif,1
chlordécone,exposition,agriculteur,devoir,vise,public,1
compenser,professionnel,supprimer,permettre,prévoir,financement,1
charge,fin,substituer,substituer,fin,laboratoire,1
centre,insérer,homologuer,sécurité,vise,insérer,1
cep,entreprise,baisse,devoir,année,proposer,1
cep,entreprise,baisse,devoir,vise,permettre,1
certification,référentiel,date,social,sécurité,santé,1
chanvre,usage,européen,social,sécurité,vise,1
charge,degré,participation,pouvoir,devoir,vise,1
charge,jour,prendre,sécurité,permettre,degré,1
chiffre,contribution,affaire,pouvoir,devoir,public,1
charge,obligatoire,assuré,social,sécurité,pouvoir,1
charge,patient,supprimer,social,sécurité,vise,1
charge,pouvoir,soin,insérer,année,proposer,1
charge,prise,souffrir,social,sécurité,pouvoir,1
charge,supprimer,urgence,pouvoir,santé,vise,1
chiffre,affaire,médicament,social,sécurité,vise,1
commission,social,recours,permettre,insérer,rédiger,1
complémentaire,droit,bénéficiaire,social,sécurité,pouvoir,1
autonomie,social,représentant,sécurité,pouvoir,faire,1
conséquence,supprimer,proposer,pouvoir,santé,charge,1
conseil,supprimer,député,social,sécurité,devoir,1
consultation,obligatoire,an,santé,faire,supprimer,1
consultation,prévention,médical,social,vise,dernier,1
conséquence,bis,exonération,sécurité,santé,rédiger,1
conséquence,dotation,établissement,vise,prévoir,financement,1
conséquence,médicament,public,santé,insérer,charge,1
contentieux,numéro,sécurité,vise,insérer,charge,1
confiance,pouvoir,cas,permettre,faire,insérer,1
contention,mécanique,insérer,insérer,conséquence,patient,1
contention,traitement,patient,permettre,insérer,charge,1
contraindre,sécurité,social,social,sécurité,faire,1
contrat,assuré,décret,social,sécurité,vise,1
contrat,pourcent,santé,devoir,vise,permettre,1
contrat,pourcent,santé,social,sécurité,devoir,1
conseil,supprimer,adaptation,devoir,supprimer,charge,1
concubin,conjoint,insérer,supprimer,insérer,conséquence,1
complémentaire,supprimer,appel,santé,devoir,supprimer,1
compléter,procèdent,versement,social,compléter,cotisation,1
complémentaire,taux,obligatoire,pouvoir,faire,pourcent,1
compléter,abroger,coordination,compléter,abroger,coordination,1
compléter,contrôleur,général,compléter,général,prendre,1
compléter,degré,perte,social,sécurité,état,1
compléter,durée,maximum,devoir,conséquence,agir,1
compléter,médicament,faire,faire,compléter,national,1
compléter,référence,degré,insérer,compléter,degré,1
compter,janvier,assurance,santé,rédiger,dispositif,1
compléter,second,médicament,faire,compléter,national,1
compléter,tard,douz,social,permettre,charge,1
compléter,viser,assurer,compléter,assurer,sanitaire,1
compléter,voie,dématérialiser,compléter,voie,rédactionnel,1
comprimé,gélule,cannabis,devoir,général,titre,1
compter,janvier,assurance,insérer,rédiger,dispositif,1
catégorie,insérer,établissement,insérer,établissement,catégorie,1
cas,échoir,titulaire,droit,mise,substituer,1
cas,salarié,employeur,pouvoir,permettre,insérer,1
bière,pourcent,alcool,social,sécurité,devoir,1
bis,degré,groupe,social,faire,supprimer,1
bis,proposer,degré,degré,état,nouveau,1
bis,supprimer,adopter,prévoir,degré,année,1
bis,urgence,insérer,sécurité,vise,public,1
bière,alcool,titrer,faire,rédiger,compléter,1
bière,alcoométrique,pourcent,social,sécurité,santé,1
bière,pourcent,alcoométrique,santé,faire,public,1
biologique,degré,substitution,permettre,faire,supprimer,1
boisson,vin,produit,social,sécurité,financement,1
boisson,vin,vigueur,social,sécurité,financement,1
bonus,adopter,sénat,faire,supprimer,assurance,1
bonus,malus,compléter,social,sécurité,dispositif,1
branche,autonomie,financement,pouvoir,vise,permettre,1
branche,dépense,régime,permettre,financement,général,1
bis,degré,déposer,social,sécurité,degré,1
biologie,médical,patient,pouvoir,faire,prévoir,1
cas,fraude,supprimer,pouvoir,santé,devoir,1
autorisation,établissement,soin,devoir,vise,permettre,1
autonomie,travailleur,financeur,sécurité,insérer,charge,1
autorisation,entreprise,médicament,devoir,vise,insérer,1
autorisation,importation,stock,pouvoir,vise,insérer,1
autorisation,importation,stock,pouvoir,vise,rédiger,1
autorisation,supprimer,insérer,supprimer,insérer,compléter,1
autorisation,travailleur,indépendant,sécurité,santé,devoir,1
b,cotisation,régime,social,sécurité,pouvoir,1
bilan,médical,psychologique,santé,vise,permettre,1
barème,taux,pourcent,supprimer,public,année,1
besoin,financement,autonomie,social,sécurité,public,1
besoin,financement,pch,social,sécurité,public,1
besoin,produit,pouvoir,santé,compléter,maladie,1
bien,bénéficiaire,agricole,devoir,vise,insérer,1
