,Mot Nº1,Mot Nº2,Mot Nº3,Mot Nº4,Mot Nº5,Mot Nº6,Mot Nº7,Mot Nº8,Mot Nº9,Mot Nº10
AMANR5L15PO717460B3397P0D1N001838,"('état', 3)","('budget', 3)","('santé', 2)","('sécurité', 2)","('social', 2)","('dépense', 2)","('complètement', 2)","('supprimer', 1)","('article', 1)","('prix', 1)"
AMANR5L15PO717460B3397P0D1N001839,"('article', 3)","('supprimer', 2)","('convention', 2)","('médical', 2)","('charge', 2)","('entendre', 1)","('repousser', 1)","('échéance', 1)","('octobre', 1)","('mars', 1)"
AMANR5L15PO717460B3397P0D1N001840,"('établissement', 6)","('article', 5)","('santé', 5)","('répartition', 3)","('mentionner', 3)","('investissement', 3)","('dotation', 2)","('b', 2)","('e', 2)","('année', 2)"
AMANR5L15PO717460B3397P0D1N001843,"('projet', 5)","('milliard', 5)","('régional', 4)","('santé', 4)","('aide', 4)","('investissement', 4)","('allocation', 3)","('ressource', 3)","('euro', 3)","('acteur', 3)"
AMANR5L15PO717460B3397P0D1N001845,"('santé', 7)","('versement', 5)","('régional', 4)","('conseil', 4)","('répartition', 3)","('critère', 3)","('définir', 3)","('investissement', 3)","('mission', 3)","('projet', 3)"
AMANR5L15PO717460B3397P0D1N001850,"('alcool', 6)","('risque', 5)","('pourcent', 4)","('titrer', 3)","('bière', 3)","('limiter', 3)","('ier', 2)","('général', 2)","('taxe', 2)","('agir', 2)"
AMANR5L15PO717460B3397P0D1N001852,"('pourcent', 6)","('social', 5)","('devoir', 4)","('entreprise', 4)","('activité', 4)","('article', 3)","('travail', 3)","('année', 3)","('btp', 3)","('b', 2)"
AMANR5L15PO717460B3397P0D1N001856,"('médicament', 7)","('article', 5)","('prix', 5)","('code', 3)","('santé', 3)","('public', 3)","('pouvoir', 3)","('fois', 3)","('sécurité', 2)","('social', 2)"
AMANR5L15PO717460B3397P0D1N001858,"('santé', 5)","('article', 4)","('établissement', 4)","('financement', 4)","('janvier', 3)","('sécurité', 3)","('social', 3)","('psychiatrie', 3)","('sanitaire', 3)","('mise', 3)"
AMANR5L15PO717460B3397P0D1N001860,"('article', 6)","('santé', 6)","('code', 5)","('mentionner', 4)","('social', 4)","('zone', 3)","('sécurité', 3)","('état', 3)","('complémentaire', 3)","('médical', 3)"
AMANR5L15PO717460B3397P0D1N001863,"('public', 9)","('médicament', 7)","('recherche', 7)","('prix', 7)","('santé', 5)","('développement', 5)","('prendre', 5)","('investissement', 4)","('état', 4)","('financement', 4)"
AMANR5L15PO717460B3397P0D1N001864,"('date', 6)","('degré', 5)","('décembre', 4)","('établissement', 4)","('remplacer', 3)","('janvier', 3)","('crise', 3)","('modèle', 3)","('priver', 2)","('santé', 2)"
AMANR5L15PO717460B3397P0D1N001866,"('degré', 3)","('année', 3)","('article', 2)","('second', 2)","('mai', 2)","('social', 2)","('entreprise', 2)","('crise', 2)","('numéro', 1)","('juillet', 1)"
AMANR5L15PO717460B3397P0D1N001868,"('santé', 9)","('sécuriser', 7)","('téléconsultation', 6)","('solution', 6)","('article', 4)","('référentiel', 4)","('donnée', 4)","('public', 3)","('sécurité', 3)","('pérenne', 3)"
AMANR5L15PO717460B3397P0D1N001869,"('santé', 10)","('sécuriser', 8)","('solution', 7)","('téléconsultation', 6)","('article', 4)","('référentiel', 4)","('outil', 4)","('donnée', 4)","('public', 3)","('sécurité', 3)"
AMANR5L15PO717460B3397P0D1N001871,"('pourcent', 7)","('social', 6)","('exonération', 6)","('activité', 6)","('btp', 5)","('crise', 5)","('article', 4)","('travail', 4)","('public', 4)","('entreprise', 4)"
AMANR5L15PO717460B3397P0D1N001875,"('résident', 9)","('ratio', 5)","('soigner', 5)","('soin', 5)","('minimal', 3)","('personnel', 3)","('établissement', 3)","('hospitalier', 3)","('permettre', 3)","('soignant', 3)"
AMANR5L15PO717460B3397P0D1N001876,"('prix', 13)","('médicament', 9)","('degré', 5)","('bout', 5)","('an', 5)","('amélioration', 5)","('service', 5)","('médical', 5)","('cas', 5)","('indication', 5)"
AMANR5L15PO717460B3397P0D1N001879,"('résident', 12)","('soigner', 8)","('ratio', 7)","('soin', 5)","('personnel', 4)","('établissement', 4)","('encadrement', 3)","('hospitalier', 3)","('soignant', 3)","('toilette', 3)"
AMANR5L15PO717460B3397P0D1N001882,"('aérien', 7)","('social', 6)","('exonération', 5)","('degré', 4)","('régime', 4)","('compétitivité', 4)","('article', 3)","('renforcer', 3)","('charge', 3)","('lodeom', 3)"
AMANR5L15PO717460B3397P0D1N001883,"('prix', 11)","('révision', 4)","('médicament', 4)","('an', 3)","('fixer', 3)","('indication', 3)","('sécurité', 2)","('social', 2)","('pouvoir', 2)","('inférieur', 2)"
AMANR5L15PO717460B3397P0D1N001884,"('répartition', 7)","('médicament', 6)","('million', 6)","('taux', 5)","('crise', 5)","('entreprise', 5)","('contribution', 5)","('pourcent', 4)","('ensemble', 4)","('année', 4)"
AMANR5L15PO717460B3397P0D1N001885,"('sécheresse', 5)","('social', 5)","('article', 4)","('code', 3)","('subir', 3)","('cotisation', 3)","('année', 3)","('agricole', 2)","('rural', 2)","('pêche', 2)"
AMANR5L15PO717460B3397P0D1N001886,"('année', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('devoir', 2)","('contribution', 2)","('vise', 2)","('visibilité', 2)","('agriculteur', 2)","('dispositif', 2)"
AMANR5L15PO717460B3397P0D1N001887,"('article', 7)","('prise', 4)","('feu', 4)","('retraite', 4)","('relatif', 3)","('code', 3)","('devoir', 3)","('indemnité', 3)","('calcul', 3)","('sapeur', 3)"
AMANR5L15PO717460B3397P0D1N001888,"('familial', 9)","('handicap', 7)","('prestation', 4)","('association', 3)","('champ', 3)","('parent', 3)","('supprimer', 2)","('vise', 2)","('aeeh', 2)","('branche', 2)"
AMANR5L15PO717460B3397P0D1N001890,"('convention', 4)","('article', 3)","('actuel', 3)","('supprimer', 2)","('médical', 2)","('nouveau', 2)","('conventionnel', 2)","('groupe', 1)","('républicain', 1)","('vise', 1)"
AMANR5L15PO717460B3397P0D1N001892,"('salarié', 4)","('part', 4)","('interdiction', 3)","('emploi', 3)","('pouvoir', 3)","('employeur', 3)","('faire', 3)","('personnel', 3)","('applique', 2)","('manifestement', 2)"
AMANR5L15PO717460B3397P0D1N001893,"('faire', 4)","('article', 3)","('dispositif', 3)","('père', 3)","('don', 3)","('jour', 3)","('prendre', 3)","('possibilité', 2)","('proposer', 2)","('flexibilité', 2)"
AMANR5L15PO717460B3397P0D1N001894,"('garde', 17)","('mode', 11)","('public', 6)","('famille', 5)","('finance', 5)","('parental', 5)","('nombre', 4)","('place', 4)","('coût', 4)","('état', 3)"
AMANR5L15PO717460B3397P0D1N001895,"('naissance', 8)","('mois', 8)","('prime', 7)","('grossesse', 6)","('date', 5)","('degré', 4)","('verser', 4)","('fixé', 4)","('décret', 4)","('social', 3)"
AMANR5L15PO717460B3397P0D1N001897,"('carte', 18)","('vital', 13)","('biométrique', 13)","('assurance', 12)","('maladie', 12)","('article', 12)","('organisme', 9)","('expérimentation', 9)","('mentionner', 8)","('prévoir', 8)"
AMANR5L15PO717460B3397P0D1N001898,"('numéro', 7)","('identification', 6)","('social', 5)","('pièce', 5)","('prestation', 4)","('bénéficiaire', 3)","('transformer', 3)","('répertoire', 3)","('justificatif', 3)","('nia', 3)"
AMANR5L15PO717460B3397P0D1N001899,"('évaluation', 5)","('prestation', 4)","('fraude', 4)","('social', 3)","('frauduleux', 3)","('élaborer', 2)","('verser', 2)","('commission', 2)","('enquête', 2)","('lutte', 2)"
AMANR5L15PO717460B3397P0D1N001900,"('âgé', 6)","('social', 3)","('syndrome', 3)","('glissement', 3)","('établissement', 3)","('contre', 3)","('évaluation', 2)","('financement', 2)","('sécurité', 2)","('évaluer', 2)"
AMANR5L15PO717460B3397P0D1N001901,"('euro', 6)","('droit', 6)","('bière', 6)","('accise', 6)","('vin', 5)","('brasserie', 5)","('petit', 4)","('structure', 3)","('alcool', 3)","('taux', 3)"
AMANR5L15PO717460B3397P0D1N001902,"('maladie', 9)","('professionnel', 8)","('reconnaissance', 7)","('mois', 4)","('contracter', 4)","('pouvoir', 3)","('mécanisme', 3)","('pathologie', 3)","('travail', 3)","('épidémie', 3)"
AMANR5L15PO717460B3397P0D1N001903,"('prix', 15)","('révision', 6)","('garantie', 4)","('médicament', 4)","('produit', 3)","('européen', 3)","('indication', 3)","('sécurité', 2)","('social', 2)","('soumettre', 2)"
AMANR5L15PO717460B3397P0D1N001906,"('social', 9)","('exonération', 8)","('sécurité', 7)","('article', 4)","('réduction', 4)","('cotisation', 4)","('compenser', 4)","('diminution', 2)","('devoir', 2)","('concurrence', 2)"
AMANR5L15PO717460B3397P0D1N001908,"('article', 6)","('code', 5)","('santé', 5)","('mentionner', 4)","('social', 4)","('sécurité', 3)","('état', 3)","('médical', 3)","('acte', 2)","('zone', 2)"
AMANR5L15PO717460B3397P0D1N001912,"('dette', 8)","('vi', 4)","('plan', 4)","('article', 3)","('activité', 3)","('saint', 3)","('entreprise', 3)","('travailleur', 2)","('indépendant', 2)","('pouvoir', 2)"
AMANR5L15PO717460B3397P0D1N001917,"('plan', 9)","('cotisant', 8)","('dette', 8)","('délai', 7)","('apurement', 6)","('social', 6)","('proposition', 5)","('sécurité', 5)","('organisme', 4)","('contester', 3)"
AMANR5L15PO717460B3397P0D1N001918,"('coordination', 5)","('ambulatoire', 3)","('modalité', 2)","('organisation', 2)","('territorial', 2)","('instance', 2)","('concertation', 2)","('local', 2)","('hôpital', 2)","('part', 2)"
AMANR5L15PO717460B3397P0D1N001926,"('social', 6)","('sécurité', 4)","('indépendant', 4)","('article', 2)","('code', 2)","('an', 2)","('organisme', 2)","('compenser', 2)","('création', 2)","('revenu', 2)"
AMANR5L15PO717460B3397P0D1N001929,"('an', 6)","('ostéoporose', 6)","('fracture', 5)","('expérimentation', 4)","('pourcent', 4)","('prise', 3)","('charge', 3)","('dépistage', 3)","('femme', 3)","('maladie', 3)"
AMANR5L15PO717460B3397P0D1N001930,"('social', 6)","('sécurité', 4)","('indépendant', 4)","('an', 3)","('acre', 3)","('exonération', 3)","('article', 2)","('code', 2)","('organisme', 2)","('compenser', 2)"
AMANR5L15PO717460B3397P0D1N001931,"('article', 22)","('code', 18)","('social', 14)","('avantage', 11)","('degré', 9)","('employeur', 9)","('assiette', 7)","('salarié', 7)","('contribution', 7)","('montant', 7)"
AMANR5L15PO717460B3397P0D1N001932,"('an', 6)","('ostéoporose', 6)","('fracture', 5)","('expérimentation', 4)","('pourcent', 4)","('dépistage', 3)","('femme', 3)","('maladie', 3)","('fragilité', 3)","('état', 2)"
AMANR5L15PO717460B3397P0D1N001934,"('article', 7)","('feu', 6)","('prise', 5)","('retraite', 5)","('indemnité', 4)","('pension', 4)","('pompier', 4)","('relatif', 3)","('code', 3)","('collectivité', 3)"
AMANR5L15PO717460B3397P0D1N001935,"('article', 7)","('feu', 6)","('prise', 5)","('retraite', 5)","('indemnité', 4)","('sapeur', 4)","('pompier', 4)","('relatif', 3)","('code', 3)","('pension', 3)"
AMANR5L15PO717460B3397P0D1N001936,"('méningite', 6)","('vaccinal', 5)","('bactérienne', 3)","('sécurité', 3)","('social', 3)","('maladie', 3)","('prévention', 3)","('infection', 3)","('matière', 2)","('ensemble', 2)"
AMANR5L15PO717460B3397P0D1N001939,"('pouvoir', 4)","('période', 3)","('nécessaire', 3)","('bénéficier', 3)","('nouveau', 3)","('entreprise', 3)","('modalité', 2)","('fractionnement', 2)","('jour', 2)","('ancienneter', 2)"
AMANR5L15PO717460B3397P0D1N001940,"('employeur', 5)","('décret', 4)","('jour', 4)","('modalité', 3)","('versement', 3)","('complément', 3)","('cas', 3)","('bénéficier', 3)","('ancienneté', 3)","('entreprise', 3)"
AMANR5L15PO717460B3397P0D1N001941,"('article', 4)","('sécurité', 3)","('social', 3)","('dispositif', 3)","('financement', 2)","('suppression', 2)","('emploi', 2)","('to', 2)","('charge', 2)","('saisonnier', 2)"
AMANR5L15PO717460B3397P0D1N001942,"('pouvoir', 4)","('prêt', 4)","('enfant', 4)","('évaluer', 3)","('assistant', 3)","('maternel', 3)","('faire', 3)","('mise', 2)","('amélioration', 2)","('lieu', 2)"
AMANR5L15PO717460B3397P0D1N001943,"('crédit', 7)","('aide', 6)","('devoir', 5)","('charge', 5)","('septembre', 4)","('février', 3)","('décret', 3)","('paiement', 3)","('masse', 3)","('salarial', 3)"
AMANR5L15PO717460B3397P0D1N001944,"('professionnel', 7)","('maladie', 6)","('travail', 5)","('accident', 3)","('faire', 3)","('pathologie', 3)","('application', 2)","('article', 2)","('numéro', 2)","('décembre', 2)"
AMANR5L15PO717460B3397P0D1N001946,"('médicament', 11)","('santé', 6)","('mois', 5)","('pénurie', 4)","('traitement', 4)","('public', 3)","('majeur', 3)","('limite', 3)","('pouvoir', 3)","('couverture', 3)"
AMANR5L15PO717460B3397P0D1N001947,"('aide', 2)","('supprimer', 1)","('prévoit', 1)","('département', 1)","('financer', 1)","('prime', 1)","('covid', 1)","('domicil', 1)","('prévue', 1)","('article', 1)"
AMANR5L15PO717460B3397P0D1N001951,"('établissement', 6)","('social', 5)","('santé', 5)","('service', 3)","('article', 2)","('éligible', 2)","('fonds', 2)","('système', 2)","('parcours', 2)","('accueillir', 2)"
AMANR5L15PO717460B3397P0D1N001952,"('degré', 4)","('conséquence', 2)","('article', 2)","('soin', 2)","('supprimer', 1)","('référence', 1)","('rédiger', 1)","('fin', 1)","('dernier', 1)","('vise', 1)"
AMANR5L15PO717460B3397P0D1N001953,"('degré', 10)","('commission', 9)","('insérer', 8)","('conséquence', 7)","('soin', 7)","('psychiatrique', 7)","('isolement', 7)","('départemental', 6)","('article', 6)","('contention', 6)"
AMANR5L15PO717460B3397P0D1N001954,"('liberté', 4)","('isolement', 3)","('durée', 2)","('heure', 2)","('informer', 2)","('juge', 2)","('détention', 2)","('contention', 2)","('dépassent', 2)","('prendre', 1)"
AMANR5L15PO717460B3397P0D1N001955,"('heure', 4)","('assistant', 3)","('maternel', 3)","('homme', 2)","('reconnaître', 2)","('rémunérer', 2)","('venir', 2)","('supprimer', 1)","('falloir', 1)","('rappeler', 1)"
AMANR5L15PO717460B3397P0D1N001961,"('ligne', 6)","('autonomie', 5)","('euro', 5)","('contribution', 4)","('pourcent', 4)","('commerce', 4)","('e', 4)","('social', 4)","('entreprise', 3)","('solidarité', 3)"
AMANR5L15PO717460B3397P0D1N001962,"('pourcent', 6)","('santé', 5)","('vaccinal', 5)","('patient', 3)","('vaccin', 3)","('médecin', 3)","('nombre', 3)","('téléconsultation', 2)","('professionnel', 2)","('bilan', 2)"
AMANR5L15PO717460B3397P0D1N001963,"('droit', 3)","('allocation', 3)","('article', 2)","('servir', 2)","('assurer', 2)","('invalidité', 2)","('faire', 2)","('code', 1)","('sécurité', 1)","('social', 1)"
AMANR5L15PO717460B3397P0D1N001964,"('ligne', 6)","('contribution', 4)","('pourcent', 4)","('commerce', 4)","('euro', 4)","('entreprise', 3)","('confinement', 3)","('france', 3)","('milliard', 3)","('e', 3)"
AMANR5L15PO717460B3397P0D1N001965,"('complémentaire', 6)","('droit', 5)","('bénéficiaire', 4)","('aah', 4)","('santé', 4)","('allocation', 2)","('couvertur', 2)","('solidaire', 2)","('asi', 2)","('automatique', 2)"
AMANR5L15PO717460B3397P0D1N001966,"('vie', 5)","('social', 5)","('contribution', 4)","('pourcent', 4)","('france', 4)","('imposition', 4)","('auxiliaire', 4)","('travail', 4)","('entreprise', 3)","('retraite', 3)"
AMANR5L15PO717460B3397P0D1N001967,"('assistant', 6)","('france', 5)","('maternel', 5)","('contribution', 4)","('imposition', 4)","('femme', 4)","('entreprise', 3)","('retraite', 3)","('pourcent', 3)","('bénéfice', 3)"
AMANR5L15PO717460B3397P0D1N001968,"('taxe', 5)","('profession', 4)","('social', 3)","('taux', 3)","('cotisation', 3)","('maladie', 3)","('pourcent', 3)","('additionnel', 3)","('revenu', 3)","('article', 2)"
AMANR5L15PO717460B3397P0D1N001969,"('pourcent', 7)","('caisse', 4)","('national', 4)","('heure', 4)","('dividende', 3)","('reverser', 3)","('crise', 3)","('exceptionnel', 2)","('contribution', 2)","('hauteur', 2)"
AMANR5L15PO717460B3397P0D1N001970,"('gramme', 5)","('santé', 4)","('pouvoir', 3)","('sécurité', 3)","('scientifique', 3)","('opérateur', 2)","('téléphonique', 2)","('cotisation', 2)","('branche', 2)","('maladie', 2)"
AMANR5L15PO717460B3397P0D1N001973,"('pourcent', 6)","('vaccinal', 4)","('france', 3)","('vaccin', 3)","('santé', 3)","('couvertur', 2)","('vaccination', 2)","('prévention', 2)","('français', 2)","('médecin', 2)"
AMANR5L15PO717460B3397P0D1N001977,"('autorisation', 3)","('entreprise', 2)","('médicament', 2)","('association', 2)","('patient', 2)","('atu', 2)","('application', 2)","('acteur', 2)","('second', 1)","('lien', 1)"
AMANR5L15PO717460B3397P0D1N001978,"('titre', 3)","('maladie', 3)","('professionnel', 3)","('entreprise', 3)","('accident', 2)","('travail', 2)","('salarié', 2)","('faire', 2)","('supérieur', 2)","('seuil', 2)"
AMANR5L15PO717460B3397P0D1N001979,"('supprimer', 3)","('conséquence', 3)","('charge', 3)","('début', 2)","('indication', 2)","('prise', 2)","('prendre', 2)","('base', 2)","('forfaitaire', 2)","('actuel', 2)"
AMANR5L15PO717460B3397P0D1N001985,"('plan', 9)","('cotisant', 8)","('dette', 8)","('délai', 7)","('apurement', 6)","('social', 6)","('proposition', 5)","('sécurité', 5)","('organisme', 4)","('contester', 3)"
AMANR5L15PO717460B3397P0D1N001986,"('dette', 8)","('vi', 4)","('plan', 4)","('article', 3)","('activité', 3)","('saint', 3)","('entreprise', 3)","('travailleur', 2)","('indépendant', 2)","('pouvoir', 2)"
AMANR5L15PO717460B3397P0D1N001991,"('médicament', 4)","('innovant', 4)","('pertinent', 2)","('notion', 2)","('innovation', 2)","('ailleurs', 2)","('nouveau', 2)","('terme', 2)","('usage', 2)","('rédiger', 1)"
AMANR5L15PO717460B3397P0D1N001993,"('collectivité', 3)","('compléter', 1)","('titre', 1)","('développe', 1)","('mettre', 1)","('oeuvre', 1)","('contrôle', 1)","('politique', 1)","('autonomie', 1)","('adapter', 1)"
AMANR5L15PO717460B3397P0D1N001999,"('entreprise', 4)","('produit', 4)","('expérimentation', 3)","('information', 3)","('sécurité', 2)","('fournir', 2)","('thérapeutique', 2)","('national', 2)","('décret', 2)","('pouvoir', 2)"
AMANR5L15PO717460B3397P0D1N002000,"('traitement', 5)","('confinement', 2)","('pharmacien', 2)","('dispensation', 2)","('continuité', 2)","('prévue', 1)","('fin', 1)","('article', 1)","('code', 1)","('santé', 1)"
AMANR5L15PO717460B3397P0D1N002001,"('expérimentation', 4)","('saad', 2)","('engagement', 2)","('supprimer', 1)","('détour', 1)","('participation', 1)","('versement', 1)","('prime', 1)","('covid', 1)","('professionnel', 1)"
AMANR5L15PO717460B3397P0D1N002002,"('cannabis', 5)","('permettre', 3)","('expérimentation', 3)","('thérapeutique', 3)","('information', 3)","('santé', 3)","('sécurité', 2)","('décret', 2)","('national', 2)","('pouvoir', 2)"
AMANR5L15PO717460B3397P0D1N002006,"('autonomie', 4)","('usager', 3)","('soutien', 3)","('contribuer', 2)","('association', 2)","('représentant', 2)","('politique', 2)","('niveau', 2)","('national', 2)","('insérer', 1)"
AMANR5L15PO717460B3397P0D1N002012,"('droit', 4)","('allocation', 4)","('invalidité', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('organisme', 2)","('servir', 2)","('assurer', 2)","('supplémentaire', 2)"
AMANR5L15PO717460B3397P0D1N002013,"('jour', 8)","('carence', 8)","('article', 6)","('social', 5)","('arrêt', 5)","('sécurité', 4)","('cas', 4)","('public', 4)","('maladie', 3)","('code', 3)"
AMANR5L15PO717460B3397P0D1N002014,"('coefficient', 6)","('géographique', 5)","('zone', 5)","('établissement', 4)","('modifier', 3)","('article', 3)","('appliquer', 3)","('tarif', 3)","('service', 3)","('implanter', 3)"
AMANR5L15PO717460B3397P0D1N002016,"('prix', 15)","('révision', 6)","('médicament', 5)","('garantie', 4)","('produit', 3)","('européen', 3)","('indication', 3)","('sécurité', 2)","('social', 2)","('santé', 2)"
AMANR5L15PO717460B3397P0D1N002018,"('décret', 3)","('ssiad', 3)","('personnel', 3)","('article', 2)","('traitement', 2)","('septembre', 2)","('mettre', 2)","('étendre', 2)","('agent', 2)","('exercer', 2)"
AMANR5L15PO717460B3397P0D1N002019,"('médicament', 11)","('santé', 6)","('mois', 5)","('pénurie', 4)","('traitement', 4)","('public', 3)","('majeur', 3)","('limite', 3)","('pouvoir', 3)","('couverture', 3)"
AMANR5L15PO717460B3397P0D1N002020,"('travailleur', 2)","('indépendant', 2)","('cotisation', 2)","('voie', 2)","('dématérialiser', 2)","('supprimer', 1)","('déclarer', 1)","('contribution', 1)","('social', 1)","('acquitter', 1)"
AMANR5L15PO717460B3397P0D1N002022,"('travailleur', 2)","('indépendant', 2)","('cotisation', 2)","('voie', 2)","('dématérialiser', 2)","('supprimer', 1)","('déclarer', 1)","('contribution', 1)","('social', 1)","('acquitter', 1)"
AMANR5L15PO717460B3397P0D1N002023,"('produit', 9)","('santé', 8)","('article', 6)","('code', 5)","('sécurité', 5)","('social', 5)","('charge', 4)","('période', 4)","('dispositif', 4)","('médical', 4)"
AMANR5L15PO717460B3397P0D1N002024,"('maison', 2)","('naissance', 2)","('compléter', 1)","('utiliser', 1)","('pratiquer', 1)","('interruption', 1)","('volontaire', 1)","('grossesse', 1)","('nom', 1)","('indique', 1)"
AMANR5L15PO717460B3397P0D1N002029,"('accueil', 4)","('niveau', 3)","('devoir', 3)","('parcours', 3)","('numérique', 2)","('unique', 2)","('départemental', 2)","('réforme', 2)","('usager', 2)","('insérer', 1)"
AMANR5L15PO717460B3397P0D1N002032,"('aeeh', 3)","('supprimer', 2)","('vise', 1)","('reprise', 1)","('branche', 1)","('autonomie', 1)","('intégration', 1)","('devoir', 1)","('accompagner', 1)","('réflexion', 1)"
AMANR5L15PO717460B3397P0D1N002033,"('revalorisation', 7)","('établissement', 7)","('traitement', 5)","('agent', 5)","('fonction', 5)","('public', 5)","('hospitalier', 5)","('santé', 4)","('article', 3)","('impact', 3)"
AMANR5L15PO717460B3397P0D1N002034,"('smic', 4)","('cotisation', 3)","('nombre', 2)","('rémunération', 2)","('comprendre', 2)","('revenir', 2)","('pacte', 2)","('responsabilité', 2)","('pouvoir', 2)","('exonération', 2)"
AMANR5L15PO717460B3397P0D1N002035,"('article', 7)","('réduction', 7)","('code', 5)","('cotisation', 5)","('revenu', 5)","('employeur', 5)","('social', 4)","('salaire', 4)","('minimum', 4)","('croissance', 4)"
AMANR5L15PO717460B3397P0D1N002037,"('établissement', 6)","('agent', 5)","('fonction', 5)","('public', 5)","('santé', 3)","('revalorisation', 3)","('hospitalier', 3)","('discrimination', 2)","('statutaire', 2)","('critère', 2)"
AMANR5L15PO717460B3397P0D1N002040,"('degré', 4)","('charge', 3)","('article', 2)","('urgence', 2)","('forfait', 2)","('unique', 2)","('créer', 2)","('bénéficiaire', 2)","('ald', 2)","('supprimer', 1)"
AMANR5L15PO717460B3397P0D1N002044,"('médicament', 3)","('rédiger', 2)","('degré', 2)","('efficacité', 2)","('sécurité', 2)","('présumer', 2)","('résultat', 2)","('essai', 2)","('thérapeutique', 2)","('définir', 2)"
AMANR5L15PO717460B3397P0D1N002045,"('médicament', 3)","('éventuel', 2)","('comparateur', 2)","('cliniquement', 2)","('pertinent', 2)","('supprimer', 1)","('état', 1)","('actuel', 1)","('rédiger', 1)","('degré', 1)"
AMANR5L15PO717460B3397P0D1N002048,"('médicament', 3)","('présomption', 2)","('efficacité', 2)","('sécurité', 2)","('substituer', 1)","('fort', 1)","('avérer', 1)","('pourcent', 1)","('agir', 1)","('renforcer', 1)"
AMANR5L15PO717460B3397P0D1N002049,"('suspendre', 1)","('insérer', 1)","('moment', 1)","('agir', 1)","('précision', 1)","('insister', 1)","('nécessaire', 1)","('rapidité', 1)","('suspension', 1)","('autorisation', 1)"
AMANR5L15PO717460B3397P0D1N002050,"('contrôle', 4)","('qualité', 4)","('article', 4)","('certification', 3)","('référentiel', 3)","('pratique', 3)","('national', 2)","('produit', 2)","('mentionner', 2)","('prestataire', 2)"
AMANR5L15PO717460B3397P0D1N002051,"('substituer', 1)","('occurrence', 1)","('agir', 1)","('ici', 1)","('renforcer', 1)","('droit', 1)","('information', 1)","('patient', 1)","('assurer', 1)","('connaissance', 1)"
AMANR5L15PO717460B3397P0D1N002054,"('article', 2)","('supprimer', 1)","('notion', 1)","('prescription', 1)","('compassionnel', 1)","('développer', 1)","('manqu', 1)","('précision', 1)","('convier', 1)","('préférer', 1)"
AMANR5L15PO717460B3397P0D1N002055,"('supprimer', 1)","('cohérence', 1)","('demande', 1)","('suppression', 1)",,,,,,
AMANR5L15PO717460B3397P0D1N002056,"('français', 6)","('étranger', 5)","('existence', 5)","('verser', 5)","('cour', 4)","('certificat', 4)","('sécurité', 3)","('social', 3)","('état', 3)","('civil', 3)"
AMANR5L15PO717460B3397P0D1N002065,"('degré', 4)","('bénéficiaire', 3)","('dispositif', 3)","('ald', 3)","('article', 2)","('ticket', 2)","('modérateur', 2)","('urgence', 2)","('forfait', 2)","('unique', 2)"
AMANR5L15PO717460B3397P0D1N002069,"('travail', 6)","('article', 5)","('entreprise', 3)","('agricole', 3)","('code', 2)","('référence', 2)","('social', 2)","('exonération', 2)","('employeur', 2)","('compléter', 1)"
AMANR5L15PO717460B3397P0D1N002073,"('article', 4)","('entreprise', 3)","('code', 2)","('degré', 2)","('social', 2)","('exonération', 2)","('compléter', 1)","('rural', 1)","('pêche', 1)","('maritime', 1)"
AMANR5L15PO717460B3397P0D1N002074,"('substituer', 1)","('mentionner', 1)","('créer', 1)","('application', 1)",,,,,,
AMANR5L15PO717460B3397P0D1N002075,"('martinique', 7)","('autonomie', 6)","('collectivité', 3)","('branche', 3)","('article', 2)","('mars', 2)","('territorial', 2)","('sécurité', 2)","('social', 2)","('martiniquais', 2)"
AMANR5L15PO717460B3397P0D1N002076,"('dernier', 1)","('supplément', 1)",,,,,,,,
AMANR5L15PO717460B3397P0D1N002077,"('article', 3)","('santé', 3)","('public', 2)","('compléter', 1)","('code', 1)","('dernier', 1)","('numéro', 1)","('décembre', 1)","('finance', 1)","('établissement', 1)"
AMANR5L15PO717460B3397P0D1N002078,"('degré', 2)","('insérer', 1)","('bis', 1)","('article', 1)","('référence', 1)","('supprimer', 1)","('rédactionnel', 1)",,,
AMANR5L15PO717460B3397P0D1N002079,"('français', 1)","('insérer', 1)","('sécurité', 1)","('social', 1)",,,,,,
AMANR5L15PO717460B3397P0D1N002080,"('compléter', 1)","('référence', 1)","('degré', 1)","('insérer', 1)",,,,,,
AMANR5L15PO717460B3397P0D1N002083,"('agriculteur', 6)","('chlordécone', 5)","('surveillance', 4)","('médical', 4)","('campagne', 3)","('travailleur', 3)","('expérimentation', 3)","('état', 2)","('titre', 2)","('expérimental', 2)"
AMANR5L15PO717460B3397P0D1N002086,"('entretien', 4)","('prénatal', 3)","('précoce', 3)","('epp', 3)","('femme', 2)","('obligatoire', 2)","('fin', 1)","('substituer', 1)","('grossesse', 1)","('réaliser', 1)"
AMANR5L15PO717460B3397P0D1N002088,"('fraude', 14)","('social', 5)","('prestation', 4)","('lutte', 4)","('contre', 4)","('financier', 4)","('détecter', 4)","('montant', 4)","('ampleur', 3)","('branche', 3)"
AMANR5L15PO717460B3397P0D1N002089,"('allocation', 4)","('droit', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('organisme', 2)","('servir', 2)","('assurer', 2)","('supplémentaire', 2)","('invalidité', 2)"
