,Amdt
3439,supprimer conséquence référence rédiger fin dernier degré degré degré degré simplification tarification urgence création forfait unique remplacer ticket modérateur existant pouvoir traduire recul droit usager or disposition venir créer charge ici inexister bénéficiaire dispositif affection long durée passage urgence lier soin relever ald revenir nier principe régime ald bénéficiaire déjà soumettre valeur absolu charge élevé besoin santé franchise médical participation forfaitaire dépassement honoraire frais prendre charge vise maintien exonération exister concerner forfait unique nouvellement créer
3440,sécurité social rédiger organisme servir assurer avantage viser étudier droit allocation supplémentaire invalidité informe possibilité bénéficier allocation ensuite liquider servir demande expresse intéresser beaucoup trop assurer bénéficiaire pension invalidité faire valoir droit allocation supplémentaire invalidité méconnaissance dispositif vise lutter contre recour droit faire porter organisme sécurité social obligation étude systématique droit allocation information assuré concerner
3441,substituer participation assurer frais occasionner passage programmer structure urgence autoriser fixer montant forfaitaire définir arrêté prendre avis union national caisse assurance maladie union national organisme assurance maladie complémentaire nonobstant disposition contraire participation pouvoir supprimer cas viser degré degré degré degré degré participation devoir passage urgence passage hospitalisation service médecine chirurgie obstétrique odontologie sein établissement création forfait unique urgences redevable réduit actuellement bénéficiaire exonération ticket modérateur venir créer charge supplémentaire revenir particulier principe affection long durée soin acte prendre charge pourcent malade chronique déjà soumettre charge élevé valeur absolu besoin santé important malgré ald soumettre paiement franchise médical participation forfaitaire dépassement honoraire frais prendre charge assurance maladie inenvisageable venir rajouter charge supplémentaire créer forfait remplacement ticket modérateur vise maintien exonération exister concerner forfait unique nouvellement créer
3442,v numéro décembre financement sécurité social compléter rédiger tard mois terme expérimentation comité scientifique détermine condition approprier éventuel pérennisation expérimentation télémédecine amélioration parcours santé etape instituer financement sécurité social reconduire financement sécurité social expérimentation encouragent soutenir financièrement déploiement projet télémédecine ensemble territoire prévoit évaluation institut recherche documentation économie santé remettre fin mois juin validation haute autorité santé appui évaluation comité scientifique charger déterminer condition approprier anticiper éventuel pérennisation expérimentation
3443,maladie supprimer fin vise retirer branche autonomie financement contenu sein viser traduction volonté président république investir faveur système santé bénéficier projet hospitalier prioritaire investissement numérique santé transformation rénovation équipemer établissement dernier précise ressource fonds mission gérer dépense nouveau constituer participation régime obligatoire assurance maladie branche autonomie or dépense concerner autonomie création branche autonomie sein sécurité social avancée majeur suscite espoir convier imputer dépense direct raison création augmenter artificiellement dépense consentir nom autonomie sens
3444,rédiger degré numéro décembre financement sécurité social abroger perte recette organisme sécurité social compenser devoir concurrence majoration droit général impôt financement sécurité social prévoit suppression dispositif exonération lier emploi travailleur occasionnel demandeur emploi to compter janvier repousse suppression janvier dispositif to consiste exonération charge patronal emploi travailleur occasionnel agricole report suppression dispositif instituer justifier impact crise sanitaire compétitivité entreprise production agricole crise sanitaire dispositif justifier difficulté producteur agricole confronter recruter travailleur saisonnier concurrence pays européen rémunérer saisonnier deçà smic français vise pérenniser dispositif to
3445,sécurité social modifier degré attribuer insérer verser degré remplacer rédiger prime naissance verser dernier jour mois civil mois grossesse dérogation prime naissance attribuer date fixé décret verser dernier jour mois civil mois prévoir grossesse degré naissance intervenir mois prévoir grossesse degré cas décès enfant intervenir vingtième semaine grossesse prime adoption verser date fixé décret applique grossesse atteindre mois compter date fixé décret tard mars inspirer proposition lurton adopter juin viser assurer versement prime naissance naissance enfant sujet revenir régulièrement examen projet financement sécurité social débat pose acuité particulier prime naissance verser naissance enfant permettre majorité époque faire menue économier budget année exclusivement politique familial français majorité socialiste étreindre politique familial force natalité jamais baissé intensité bébé naissaient contre enfant an verser prime naissance naissance enfant préparation accueil enfant occasionne frais moment versement prime opportun
3446,substituer section alimenter dotation branche maladie maternité invalidité décès régime général montant fixer année arrêté ministre charger sécurité social regard frais participation organisation instance conventionnel conséquence supprimer contribution prévoir santé public finance action mener union régional professionnel santé contribution devoir conserver urp mission essentiel territoire budget devoir amputer profit syndicat professionnel appartenir syndicat financer
3447,santé public année insérer indice fixer décret sanitaire régional agir inscrir critère répartition fonds intervention régional indice prendre spécificité territoire matière état santé population vivre finalité poursuivre indice moduler annuellement répartition fir fonction besoin rééquilibrage offre soin travers fixation objectif résorption inégalité accès soin proposition défendre long date famille politique lieu définir dispositif permettre concentrer davantage moyen prise charge problématique santé territoire santé concitoyen fragile combler réellement inégalité territorial social santé entamer débat réflexion sujet biais fir actuellement répartir inéquitablement territoire
3448,sécurité social modifier degré ter insérer quater rédiger quater dérogation bis redevable contribution relever matière assurance maladie caisse prévoyance social polynésie français charge régime obligatoire sécurité social français degré ter insérer quater rédiger quater dérogation bis redevable contribution relever matière assurance maladie caisse prévoyance social polynésie français charge régime obligatoire sécurité social français perte recette organisme sécurité social compenser devoir concurrence majoration droit général impôt vise rectifier injustice subir français établir polynésie français affilier régime obligatoire protection social caisse prévoyance social domicil fiscal france pourtant exonérer csg crds soumettre double imposition inégalité traitement autant important financement sécurité social décembre prévoit exonération prélèvement français résider sein espace économique européen suisse déclaration droit homme citoyen poser principe égalité fiscal terme régime fiscal devoir appliquer contribuable placer identique ailleurs polynésie français état signer convention fiscal tendre éliminer double imposition établir règle assistance mutuel administratif imposition revenu capital mobilier or couvrir csg crd cotisation social respectivement créer corriger inégalité traitement français établir hexagone pays territoire
3449,supprimer voie dématérialiser conséquence procéder suppression second but supprimer obligation déclaration voie dématérialiser cotisation contribution social travailleur indépendant agricole
3450,équité insérer territorial vise préciser équité garanti cnsa équité territorial pouvoir prendre spécificité territoire
3451,insérer degré contribuer amélioration condition travail valorisation métier participer accompagnement soutien autonomie âgé handicaper urgence évaluer besoin financement couvrir besoin nouveau politique autonomie destination handicap aidant vise inscrire projet importance mieux valoriser métier carrière professionnel accompagnement dépendance handicap soutien autonomie convier inscrire ambition caisse national solidarité autonomie pleinement compétent travailler amélioration valorisation métier grand âge handicap
3452,sécurité social dotation insérer répartie catégorie établissement santé valorisation économique champ activité but répartition équitable transparence but introduir principe proportionnalité attribution enveloppe migac établissement
3453,sécurité social taux pourcent remplacer taux pourcent perte recette organisme sécurité social compenser devoir concurrence création taxe additionnel droit viser général impôt vise réduire taux contribution vente gros médicament pourcent issu demande répartiteur pharmaceutique acteur proximité système santé répondre sollicitation pouvoir public gestion crise sanitaire assurer distribution masque
3454,sécurité social compléter rédiger dérogation réduction applicable ensemble établissement service degré statut perte recette organisme sécurité social compenser devoir concurrence majoration droit général impôt objectif harmoniser allégement cotisation social ehpad priver ehpad public existe actuellement surcharge million an public titre abattement charge pérenne pourcent masse salarial
3455,sécurité social compléter rédiger aide investissement verser établissement b part établissement part allouer valorisation économique champ activité traduire engagement président république concerner aide investissement établissement santé public priver vise introduir principe proportionnalité répartition aide allouer
3456,compléter exclusivement dépense destiner financement offre agir repli viser traduction volonté président république investir faveur système santé bénéficier projet hospitalier prioritaire investissement numérique santé transformation rénovation équipemer établissement médico social vise assurer financement affecter branche autonomie obligatoirement destiner investissement structure
3457,remettre parlement délai mois compter promulgation mise place nouveau tarification transport bariatrique cadre renouvellement convention national destiner organiser entreprise transport sanitaire privé caisse assurance maladie prévue sécurité social devoir aboutir conclusion tard décembre participer bon information parlement concerne égalité accès soin obèse ambulance bariatriqu ambulance spécialement équiper poids supérieur kilogramme souffrir handicap remboursement type transport effectue base transport habituel couvrir ensemble frais transport patient souffrir obésité handicap devoir supporter charge conséquent devenir problématique patient cumuler pathologie fréquemment établissement hospitalier groupe udi indépendant souhaite améliorer prise charge transport médical ambulance bariatriqu lutter contre inégalité accès soin prévoit remettre parlement mise place nouveau tarification transport bariatrique
3458,degré numéro juillet finance rectificativer année remplacer fois année perte recette état compenser devoir concurrence création taxe additionnel droit général impôt perte recette organisme sécurité social compenser devoir concurrence majoration droit général impôt chrd café hôtel restaurant discothèque entreprise tourisme économique gravité extrême obligation fermeture administratif interruption brutal flux touristique crise faire face entreprise profonde durable risquer échapper dépôt bilan dispositif aide mettre place devoir durer temps permettre entreprise relever vise prolonger condition dispositif exonération cotisation contribution social chrd entreprise tourisme mai mai
3459,section vi chapitre ier titre partie livre ier général impôt compléter b rédiger art titrer pourcent alcool faire taxe montant profit caisse national assurance maladie travailleur offrir agir fort titrer pourcent voire pourcent autant vin jeune population bien espace public contenir important alcool particulier contenant cl cannette cl titrer pourcent alcool savoir limiter risque consommer verre alcool jour jour consommation alcool conditionnement particulier canette pose pouvoir incite terminer cannette lieu usage alcool interdire impossible milieu scolaire milieu professionnel lieu accueil administration enceinte sportif commencer alcoolisation important rapide pic atteindre bout minute augmente risque dommageable accident route violence risque socioprofessionnel comportement risque député socialiste apparenter limiter consommation produit taxe jeune globalemer faible pouvoir achat population sensible prix agir limiter incitatif achat alcoolisation excessif objectif risque dommage proposer association national prévention alcoologie addictologie
3460,sécurité social modifier degré attribuer insérer verser degré rédiger prime naissance verser fin dernier jour mois civil mois grossesse prime adoption verser date fixé décret degré insérer rédiger prime devoir cas décès enfant naissance arrivée enfant vise concrétiser plfs travail mener député début législature viser permettre versement prime naissance naissance disposition adopter juin proposition numéro viser assurer versement prime naissance naissance enfant conditionner mise œuvre délai navette parlementaire groupe modem démocrate apparenter définitivement adopter véhicule législatif adapter constitue plfss
3461,sécurité social modifier degré permettre assurer bénéficier mécanisme tiers payer prestation garantie hauteur tarif responsabilité supprimer degré ajouté rédiger prévoir bénéfice mécanisme tiers payer prestation garantie hauteur tarif responsabilité niveau minimal prise charge précédent disposition appliquer contrat souscrit renouveler compter janvier vise effectif tiers payer intégral équipement soin panier pourcent santé obligatoire organisme complémentaire santé proposer contrat responsable contrat responsable devoir prévoir acceptation organisme complémentaire pratique tiers payer panier pourcent santé hauteur charge intégralement couvert nouveau étape mise œuvre pourcent santé entrer vigueur temps nécessaire adaptation contrat responsable permettre lever dernier frein éventuel recours soin concerner optique dentaire audiologie
3462,dispositif insérer respect objectif qualité prise charge réponse besoin territoire vise assurer contractualisation agence objectif prise charge besoin territoire bien coordination ville primordial atteinte cancer territoire coordination domaine fragile structure ambulatoire soin curatif palliatif disponible fonction lieu vie individu fortiori crise acteur terrain difficile malade contraindre domicil isolement malade interruption soin confinement gestion soin palliatif aidant coordination service had assurer besoin coordination essentiel territoire malade prendre condition dispositif député socialiste apparenté modifier inclure objectif motif besoin coordination pouvoir regard moyen concerner poste infirmier coordination proposer ligue contre cancer
3463,santé public insérer rédiger médicament intérêt thérapeutique majeur limite pouvoir inférieur mois couverture besoin médicament calculé base volume vente spécialité concerner cours dernier mois glissant vaccin intensifier important malade public septembre dernier ligue contre cancer constat alarmer oncologie professionnel pourcent oncologue contre cancer impact vie an patient admettre agir finance social obligation industriel constituer stock national limite condition conseil pouvoir mois couverture besoin base volume vente cours dernier mois glissant toutefois public majeur mitm interruption traitement susceptible mettre jeu pronostic vital patient court moyen terme perte chance important patient regard potentiel maladie député socialiste apparenter vise importance majeur mitm reconnaître dernier limite stock pouvoir mois couverture besoin disposition permettre limiter perte chance interruption traitement grave changement traitement urgence grave pouvoir prise charge malade proposer ligue contre cancer
3464,substituer prévue santé public correspondre pourcent prévoit taux annuel contribution percevoir union régional professionnel santé urp verser adhérent convention maintenir taux pourcent montant annuel plafond cotisation sécurité social or contribution destiner fonctionnement urp financement vie syndical préserver fonctionnement urp indispensable contribution amputer porter taux annuel contribution percevoir union régional professionnel santé urp pourcent
3465,supprimer vachez préconiser transfert aeeh branche autonomie pose toutefois question définition périmètre application relève branche famill relever branche autonomie quell politique familial enfant handicap bien partir bon intention contour évolution aeeh demeure flou récemment iga formuler proposition partager association nécessaire engager vraie réflexion évolution aeeh concertation association concerner rapprochement allocation prestation compensation handicap attendant vise supprimer reprise aeeh nouveau branche autonomi rejoindre position association familial association intervenir champ handicap concertation héler lieu
3466,supprimer vise abroger xi numéro financement sécurité social prévoir contribution cnsa réforme financement service aide accompagnemer domicile limite million crédit annoncer hauteur million inscrire cadre feuille route stratégie grand âge autonomie relever défi vieillissement court moyen terme enveloppe million financement sécurité social flécher crédit objectif préfigurer modalité mise œuvre nouveau modèle financement saad tirer enseignement ajuster futur modèle financement service olivier véran ministre solidarité santé consacrer déplacement ministériel aide domicile perte autonomie rappeler refonte maintien domicile tarification cœur réforme grand âge autonomie soutenir davantage présenter court terme augmentation million enveloppe consacrer cnsa porter million accélérer modalité délégation crédit conseil départemental service assurer arriver vite terrainle attente second projet décret devoir venir préciser disposition xi numéro financement sécurité social attente traduction million supplémentaire
3467,état pouvoir titre expérimental durée an compter janvier autoriser infirmier diplômer état réaliser vaccination saisonnier antigrippal prescription médical dérogation condition prévoir santé public expérimentation réaliser conformément calendrier vaccination recommandation vaccinal établir ministère solidarité santé mode exercice infirmier décret fixe champ modalité mise œuvre expérimentation région concerner modalité évaluation vue éventuel généralisation détermine rémunération devoir participation expérimentation modalité financement évaluation réaliser terme expérimentation faire transmission parlement analyse pertinence généraliser pérenniser expérimentation infirmier diplômer autoriser pratiquer vaccination possibilité encadrer santé public limite existence prescription médical protocole établir médecin rappel infirmier déjà habiliter santé public pratiquer injection vaccin antigrippal prescription médical mission inscrire cadre rôle préventif incombe infirmier outrepasser compétence nécessite pose diagnostic acte enseigner formation initial déroule conséquent condition permettre assurer sécurité patient définitive conforme santé public prévoir élargissement vaccin relever compétence propre infirmier liste devoir établir décret acte déjà maîtriser professionnel objectif particulièrement répondre besoin santé public permettre tranche population accéder facilement vaccination extension compétence pouvoir permettre obtenir meilleur couvertur vaccinal france population fragile bénéficier ald taux vaccination relever inférieur seuil couvertur requérir couverture efficace extension adéquation objectif santé public représente couvertur vaccinal
3468,rédiger décret conseil état précise modalité mise œuvre expérimentation condition entrée dispositif respect objectif qualité prise charge réponse besoin territoire modalité financement susceptible mettre œuvre modalité évaluation expérimentation vise assurer contractualisation agence régional santé objectif qualité prise charge réponse besoin territoire bien nécessaire coordination primordial atteinte cancer territoire coordination domaine cancérologie déjà fragile épidémie structure ambulatoire soin curatif palliatif inégalement disponible fonction lieu vie individu conséquent fortiori période crise acteur terrain témoigner très difficile malade contraindre soigner domicile isolement extrême malade interruption soin période confinement gestion soin palliatif aidant difficulter coordination service had hôpital assurer besoin coordination essentiel territoire malade prendre condition entrée dispositif modifier inclure objectif annoncer exposé motif besoin coordination pouvoir apprécier regard moyen allouer établissement concerner création poste infirmier coordination idec
3469,sécurité social rédiger organisme servir assurer avantage viser étudier droit allocation supplémentaire invalidité devoir informer assurer possibilité bénéficier allocation supplémentaire invalidité asi prestation verser assuré invalide disposer faible ressource remplir ailleurs condition bénéficier allocation solidarité âgé trop assuré bénéficiaire pension invalidité faire valoir droit allocation supplémentaire invalidité connaissance droit accéder louable revaloriser dispositif principal intéresser savoir pouvoir bénéficier lutte contre méconnaissance droit asi faire porter organisme sécurité social obligation étude systématique droit allocation inscrivant obligation informer assuré concerner dernier pouvoir bénéficier
3470,insérer complément rémunération répartir agent statutaire fonction public critère objectif principe égalité traitement agent vertu accord ségur santé consacrer revalorisation carrière traitement personnel santé établissement hospitalier génératrice profonde inégalité agent statutaire fonction public hospitalier travailler sein pôle auprès établissement rattacher établissement santé exclus revalorisation salarial état aller créer conflictuel établissement oppose pôle sanitaire pôle médico social différence traitement repose critère objectif principe égalité traitement agent public agent fonction public hospitalier devoir concerner revalorisation nature établissement exercer fonction vise permettre instaurer nécessité prise principe égalité traitement agent statuaire fonction public répartition complément rémunération prévoir projet
3471,compléter remettre parlement délai mois compter promulgation information objectif analyser prise champ application décret numéro septembre relatif versement complément traitement indiciaire agent établissement public santé groupement coopération sanitaire établissement hébergement âgé dépendant fonction public hospitalier agent fonction public hospitalier intégrer service soin infirmier domicile agent établissement service social remise étudier intégration agent service soin infirmier domicile agent établissement service social champ application décret septembre faire suite négociation ségur santé décret prévoit complément traitement indiciaire agent établissement public santé groupement coopération sanitaire établissement hébergement âgé dépendant fonction public hospitalier or agent établissement service social agent service soin infirmier domicile ssiad rattacher établissement santé voir évincer champ application décret conséquent personnel structure priver revalorisation salarial cas personnel institut ime maison accueil spécialisé mas service soin infirmier domicile ssiad attendre revalorisation état aller créer conflictuel établissement oppose pôle sanitaire pôle essentiel veiller attractivité métier envoyer signal fort éviter fuite personnel ehpad proposer salaire attractif différence traitement allocation rémunération repose critère objectif principe égalité traitement agent public agent fonction public hospitalier devoir concerner revalorisation nature établissement exercer fonction
3472,sécurité social taux pourcent remplacer taux pourcent perte recette organisme sécurité social compenser devoir concurrence création taxe additionnel droit viser général impôt crise sanitaire lier bousculer organisation système soin français intensité violence inédit chaîne approvisionnemer médicament entreprise répartition pharmaceutique cheville ouvrier ligne mettre rude épreuve sujet aménagement territoire territoire rural fortement pénaliser année professionnel alertent difficulté économique devoir faire face année france officine devoir fermer entreprise répartition pharmaceutique devoir mettre place plan sauvegarde emploi contexte exceptionnel répartition faire preuve mobilisation précédent répondre ensemble demande pouvoir public gestion crise sanitaire assurer distribution million masque chirurgicau mission supplémentaire assuré long crise entreprise répartition pharmaceutique jouent quotidien rôle crucial chaîne médicament assurer approvisionnement pharmacie français ensemble territoire mission confier acteur priver rémunération dernier encadrer arrêté marge ailleurs chiffre affaire répartiteur soumettre contribution vente gros cveg destiner alimenter recette assurance maladie or taxation spécifique pénalise fortement marge unitaire faible ampute capital croissance applique chiffre affaire contribution structuration taux devenir totalement confiscatoire profession représente poids million rapprocher montant perte annuel million million million continuer significativer baisse contribution pouvoir régler crise connaître autant représente volet indispensable réduire taux contribution vente gros pourcent dégager million permettre entreprise répartition représenter emploi france relever tête éviter effondre ensemble chaîne médicament attendre refonte global structure taxe nocif économie précieux engager calendrier méthode
3473,supprimer demander suppression repousse échéance convention médical octobre mars tarification lier convention reporter entraîner absence revalorisation année venir tarif consultation revoir an acte revaloriser an très mauvais signe lancer professionnel santé libéral syndicat professionnel estimer suffisamment entendre suppression report échéance convention médical
3474,sécurité social insérer bis rédiger bis entreprise mettre disposition comité économique produit santé médicament montant investissement public recherche développement bénéficier développement desdit médicament montant public prendre comité fixation prix vente vise public investissement réaliser état prendre définition prix médicament course vaccin contre covid révéler rôle puissance public financement santé état contribue indirectement très largement développement médicament arriver marché financement système enseignemer supérieur excellence former scientifique chercheur part octroi subvention entreprise crédit impôt recherche cir part investissement recherche public or somme considérable investir état public prendre négociation prix produit santé effectuer entreprise pharmaceutique finalement payer prix fort faute négociation éclairer éviter contribuable paie fois travers financement public recherche développement biomédical prix final élevé médicament rembourser assurance maladie convier dévoiler prendre définition prix financement état contribuer mettre point médicament proposition aller sens transparence utilisation impôt vue bon gestion finance public
3475,sécurité social modifier degré insérer bis rédiger bis prix vente devoir réviser niveau inférieur baissé convention défaut décision comité économique produit santé degré tard bout an médicament demander obtenir amélioration service médical niveau recueillir avis commission évaluation économique santé public médicament reconnaître amélioration service médical niveau iv médicament obtenir récemment amélioration service médical niveau avis commission évaluation économique santé public disponible ressort avis commission transparence évaluation favorable valoir partage amélioration service médical comparateur médicament antibiotique base nouveau substance actif obtenir amélioration service médical iv degré tard bout an degré cas extension indication thérapeutique nombre patient volume vente degré compléter nombre patient volume vente donner lieu révision prix septembre sécurité social cour recommand renforcer dispositif révision prix france critère révision prix médicament définir lfs existe obligation révision prix cour recommand établir cas issue année garantie prix européen interdire état fixer prix inférieur prix facial pratiquer allemagne italie espagne royaume uni médicament innovant prix élevé durée garantie bout an médicament cas extension indication thérapeutique médicament pouvoir vendre indication viser population limité permettre obtention prix élevé obtenir suite extension indication population large prix chang vise suite recommandation cour déterminer légalement condition déclenchement révision prix cas bout an médicament innovant soumettre garantie prix européen bout an cas extension indication thérapeutique
3476,début sécurité social rédiger prix vente devoir faire nouveau examen tard an initialement fixer pouvoir moment fixer niveau inférieur changement septembre sécurité social cour recommand renforcer dispositif révision prix france critère révision prix médicament définir lfs existe obligation révision prix cour recommand établir cas issue année garantie prix européen interdire fixer prix inférieur prix facial pratiquer allemagne italie espagne royaume uni médicament innovant prix élevé durée garantie bout an médicament cas extension indication thérapeutique médicament pouvoir vendre indication viser population limité permettre obtention prix élevé obtenir suite extension indication population large prix chang vise déterminer légalement condition déclenchement révision prix minimer bout an
3477,mois promulgation remettre parlement évaluer conséquence gouvernemental prendre politique familial évalue politique public évolution natalité france vise demander ensemble gouvernemental prendre politique familial famille constitue socle fondamental société pourtant actuel prendre instar précédente majorité nuire famille parental limite durée maximal an parent baisse quotient familial récent suppression crédit impôt famille entreprise risque fragiliser ensemble petit enfance pouvoir entraîner fermeture place crèche taux fécondité france enfer femme conciliation vie familial professionnel essentielle souhaite chiffre natalité reviennent taux enquête observatoire famille ailleurs démontrer désir enfer famille évaluer montre nécessité mener politique familial atteindre objectif appartenir remettre parlement indiquer donnée chiffrer viser infléchir politique actuel atteindre objectif taux natalité
3478,sécurité social compléter rédiger examen ouverture droit couvertur complémentaire renouvellement automatiquement étudier bénéficiaire allocation condition fixer décret objectif simplifier accès couvertur complémentaire santé renouvellement bénéficiaire allocation adulte handicapé aah étude automatique disposition inspir déjà prévoir bénéficiaire pourcent allocataire allocation adulte handicapé travailler nature lutter contre recours droit christophe sirugue repenser minimum social couvertur socle commun plaide automaticité attribution droit connexe allocataire minimum social entendre simplifier recours bénéficiaire ressource répondre critère accès
3479,santé public supprimé prestataire santé domicile psad acteur santé participer prise charge patient domicile activité nécessiter action coordination prévention accompagnement suivi quotidien malade prendre déjà charge million patient atteindre maladie chronique compensation perte autonomie particulièrement période crise sanitaire traverser jouer mission essentiel anticiper domicile patient hospitaliser permettre réduire nombre lit occuper hôpital augmentation maladie chronique vieillissement population fort demande patient privilégier mode soin souci confort amélioration qualité vie renforcer légitimité hausse nombre affection long durée augmentation espérance vie rôle tendre renforcer davantage futur toutefois prestataire santé domicile bénéficier reconnaissance clair statut pourtant nécessaire réaffirmer jouent rôle cler organisation système soin entérine statut prestataire santé domicile inscrivant santé public
3480,état pouvoir autoriser durée an titre expérimental financement protocole télémédecine impliquer opticien lunetier fonds régional santé public état pouvoir autoriser utilisation matériel exploration invasif automatiser opticien lunetier autonomie contrôle ophtalmologiste modalité mise œuvre expérimentation prévoir définir voie réglementaire tard juin ministre charger santé sécurité social arrêter liste territoire participer expérimentation limite région délai mois terme expérimentation adress parlement évaluation prononcer pertinence généralisation partout territoire concitoyen rencontrer difficulté matière accès soin visuel difficulté connu force constater amplifier conséquence crise sanitaire activité ophtalmologiste million consultation pouvoir assurer confinement conséquence français tension structurel existant matière accès soin visuel aller continuer intensifier jamais nécessaire adopter dispositif concret remédier essor télémédecine solution portée immédiat accroître coopération interprofessionnel délégation tâche nécessaire réduire tension accès soin expérimentation faire suite recommandation iga septembre élargissement liste matériel exploration invasif utilisable opticien lunetier orthoptiste autonomie contrôle ophtalmologiste
3481,téléconsultation insérer réaliser conformément sécurité social lier épidémie développement téléconsultation france constitue opportunité permettre français accéder offre diversifier accès soin téléconsultation ailleurs faire démonstration pertinence dernier pleine crise pandémique consultation lien covid consultation nécessaire parcours soin classique suivi maladie chronique porter savoir prise charge systématique pourcent téléconsultation indépendammer nature toutefois pertinent revenir considérer forme consultation pouvoir soustraire logique parcours soin responsabilise patient parcours soin coordonner incite financièremer patient éviter nomadisme médical multiplier consultation pathologie rien justifier lever téléconsultation principe parcours soin contraire dématérialisation téléconsultation biais opérateur pouvoir inciter patient multiplier téléconsultation rassurer diagnostic proposer nécessaire considérer téléconsultation consultation part entier place parcours soin conséquence soumettre règle responsabilisation patient rappell participation assurer lier respect parcours soin précise téléconsultation lien covid intégralement prendre charge sécurité social
3482,santé public insérer rédiger médicament intérêt thérapeutique majeur limite pouvoir inférieur mois couverture besoin médicament calculé base volume vente spécialité concerner cours dernier mois glissant pénurie médicament vaccin intensifier conséquence important malade septembre dernier ligue contre cancer publier étude constat particulièrement alarmer oncologie professionnel santé confronter problématique pourcent oncologue médical confronté pénurie médicament contre cancer considèrent impact vie an patient admettre nécessité agir pénurie finance sécurité social consacrer obligation industriel constituer médicament stock sécurité destiner marché national limite fixé condition définir décret conseil pouvoir excéder mois couverture besoin médicament calculé base volume vente spécialité cours dernier mois glissant toutefois santé public définir médicament intérêt thérapeutique majeur mitm médicament interruption traitement susceptible mettre jeu pronostic vital patient court moyen terme représente perte chance important patient regard gravité potentiel évolutif maladie vise importance majeur mitm reconnaître prévoir dernier limite stock pouvoir inférieur mois couverture besoin médicament disposition permettre limiter perte chance interruption traitement indésirable grave causer changement traitement urgence méconnaitre grave conséquence pénurie pouvoir prise charge malade
3483,compléter participation assurer respecte sécurité social disposition lier épidémie prolong fois cadre dérogatoire détriment maîtrise dépense santé passer côté opportunité mettre place véritable cadre législatif prévoir mise place régime financier avantageux téléconsultation consultation physique permettre prise charge pourcent assurance maladie ensemble téléconsultation décembre parcours soin or rien justifier téléconsultation consultation physique solution paiement facturation assurance maladie existent disponible professionnel santé précision vise garantir remboursement téléconsultation assurer règle consultation physique prise charge pourcent régime obligatoire téléconsultation réaliser cadre parcours soin coordonné pourcent téléconsultation réaliser parcours soin coordonné évolution sens permettra apporter stabilité télémédecine besoin répondre attente patient médecin conformément engagement ségur santé
3484,santé public insérer rédiger art zone degré conventionnemer médecin libéral application sécurité social pouvoir intervenir concomitance cessation activité libéral médecin exercer condition équivalenter zone décret conseil état fixe modalité application million français vivre désert médical conséquence très concret devoir patienter mois consulter médecin spécialiste parviennent difficilement accéder médecin généraliste faire face mettre place conventionnement territorialiser médecin dispositif régulation installation professionnel santé exister déjà professionnel santé pharmacie infirmier sage femmer dispositif montrer preuve proposer étendre médecin libéral
3485,rédiger degré numéro décembre financement sécurité social abroger perte recette organisme sécurité social compenser devoir concurrence majoration droit général impôt dispositif travailleur occasionnel demandeur emploi occasionnel agricole tode essentiel agriculteur créer exonération spécifique charge patronal employeur saisonnier agricole permettre employeur agricole maintenir compétitivité voisin européen particulièrement contexte économique traverser or plfs entendre reporter suppression année ajoute confusion inquiétude auprès profession connaître difficulté économique importance travail saisonnier agricole acceptable reporter suppression dispositif professionnel crainte an charge patronal augmentent pérenniser définitivement dispositif tode
3486,fin substituer année année compléter perte recette organisme sécurité social compenser devoir concurrence création contribution additionnel contribution viser sécurité social dispositif travailleur occasionnel demandeur emploi occasionnel agricole tode essentiel agriculteur créer exonération spécifique charge patronal employeur saisonnier agricole permettre employeur agricole maintenir compétitivité voisin européen particulièrement contexte économique traverser or plfs entendre reporter suppression année ajoute confusion inquiétude auprès profession connaître difficulté économique importance travail saisonnier agricole acceptable reporter suppression dispositif professionnel crainte an charge patronal augmentent repli allonger an supplémentaire délai suppression dispositif tode
3487,fin substituer activité décembre activité cours année vise faire contribuer prise charge dépense lier gestion épidémie ensemble organisme activité
3488,fin substituer décembre cours année vise faire contribuer ensemble organisme fonctionner cours année uniquement exercice décembre
3489,supprimer voie dématérialiser conséquence procéder suppression second vise choix déclarant modalité effectuer déclaration moyen faculter dispose
3490,supprimer nécessaire instant déclarant choix modalité déclaration
3491,substituer numérique dédié vise préciser service mettre place informer perte autonomie spécifique uniquement voie numérique
3492,second substituer rédactionnel viser corriger faute grammaire
3493,substituer vise ramener mois durée prendre ordonnance mettre place nouveau branche autonomie but accélérer effectivité
